"SITE","LINE","traits","Co59","SITE2"
"CLMB","235","Co59","0.0409334665","CLMB"
"CLMB","236","Co59","0.113278217","CLMB"
"CLMB","237","Co59","0.147575941","CLMB"
"CLMB","238","Co59","0.112957778","CLMB"
"CLMB","239","Co59","0.261361086","CLMB"
"CLMB","240","Co59","0.068459202","CLMB"
"CLMB","241","Co59","0.154076669","CLMB"
"CLMB","242","Co59","*","CLMB"
"CLMB","243","Co59","*","CLMB"
"CLMB","244","Co59","0.04147726","CLMB"
"CLMB","245","Co59","0.109216832","CLMB"
"CLMB","246","Co59","0.087554619","CLMB"
"CLMB","247","Co59","0.04282036","CLMB"
"CLMB","248","Co59","0.100038668","CLMB"
"CLMB","249","Co59","0.139457267","CLMB"
"CLMB","250","Co59","0.165461265","CLMB"
"CLMB","251","Co59","0.086253942","CLMB"
"CLMB","252","Co59","0.181736951","CLMB"
"CLMB","253","Co59","0.228419458","CLMB"
"CLMB","254","Co59","*","CLMB"
"CLMB","255","Co59","*","CLMB"
"CLMB","256","Co59","0.118663464","CLMB"
"CLMB","257","Co59","0.252209586","CLMB"
"CLMB","258","Co59","0.228168083","CLMB"
"CLMB","259","Co59","*","CLMB"
"CLMB","260","Co59","0.04863786","CLMB"
"CLMB","261","Co59","0.172097688","CLMB"
"CLMB","262","Co59","0.164424321","CLMB"
"CLMB","263","Co59","*","CLMB"
"CLMB","264","Co59","0.038817242","CLMB"
"CLMB","265","Co59","0.045775584","CLMB"
"CLMB","267","Co59","*","CLMB"
"CLMB","268","Co59","*","CLMB"
"CLMB","269","Co59","0.235875729","CLMB"
"CLMB","270","Co59","0.082641382","CLMB"
"CLMB","271","Co59","0.029929792","CLMB"
"CLMB","272","Co59","0.11800816","CLMB"
"CLMB","273","Co59","*","CLMB"
"CLMB","274","Co59","0.106723251","CLMB"
"CLMB","275","Co59","0.040357786","CLMB"
"CLMB","276","Co59","*","CLMB"
"CLMB","277","Co59","0.085264812","CLMB"
"CLMB","278","Co59","0.061072538","CLMB"
"CLMB","279","Co59","0.178988419","CLMB"
"CLMB","281","Co59","*","CLMB"
"CLMB","282","Co59","0.033626502","CLMB"
"CLMB","283","Co59","*","CLMB"
"CLMB","284","Co59","0.110769204","CLMB"
"CLMB","285","Co59","0.11968791","CLMB"
"CLMB","286","Co59","*","CLMB"
"CLMB","287","Co59","*","CLMB"
"CLMB","288","Co59","0.106367648","CLMB"
"CLMB","289","Co59","0.016757006","CLMB"
"CLMB","292","Co59","*","CLMB"
"CLMB","293","Co59","*","CLMB"
"CLMB","294","Co59","0.063868119","CLMB"
"CLMB","296","Co59","0.061303402","CLMB"
"CLMB","297","Co59","0.081867886","CLMB"
"CLMB","298","Co59","0.222677727","CLMB"
"CLMB","299","Co59","*","CLMB"
"CLMB","300","Co59","*","CLMB"
"CLMB","301","Co59","0.168131154","CLMB"
"CLMB","302","Co59","0.058291138","CLMB"
"CLMB","303","Co59","0.114544722","CLMB"
"CLMB","304","Co59","0.067436039","CLMB"
"CLMB","305","Co59","0.213571593","CLMB"
"CLMB","306","Co59","*","CLMB"
"CLMB","307","Co59","0.164860807","CLMB"
"CLMB","308","Co59","0.105487124","CLMB"
"CLMB","310","Co59","0.09470729","CLMB"
"CLMB","311","Co59","0.087939703","CLMB"
"CLMB","312","Co59","0.10472146","CLMB"
"CLMB","313","Co59","*","CLMB"
"CLMB","314","Co59","0.197277455","CLMB"
"CLMB","315","Co59","0.076232362","CLMB"
"CLMB","317","Co59","0.23245059","CLMB"
"CLMB","318","Co59","*","CLMB"
"CLMB","319","Co59","0.084073995","CLMB"
"CLMB","320","Co59","0.100441557","CLMB"
"CLMB","322","Co59","0.161248954","CLMB"
"CLMB","323","Co59","0.113181389","CLMB"
"CLMB","324","Co59","0.185778943","CLMB"
"CLMB","325","Co59","0.095117797","CLMB"
"CLMB","326","Co59","0.14066555","CLMB"
"CLMB","328","Co59","0.191284935","CLMB"
"CLMB","330","Co59","0.204731291","CLMB"
"CLMB","332","Co59","0.259964789","CLMB"
"CLMB","333","Co59","0.215326826","CLMB"
"CLMB","334","Co59","*","CLMB"
"CLMB","335","Co59","*","CLMB"
"CLMB","336","Co59","0.090355524","CLMB"
"CLMB","337","Co59","0.234561","CLMB"
"CLMB","338","Co59","0.113550395","CLMB"
"CLMB","339","Co59","0.105444006","CLMB"
"CLMB","340","Co59","*","CLMB"
"CLMB","341","Co59","0.067927258","CLMB"
"CLMB","342","Co59","0.211974794","CLMB"
"CLMB","343","Co59","*","CLMB"
"CLMB","345","Co59","0.166655459","CLMB"
"CLMB","346","Co59","*","CLMB"
"CLMB","347","Co59","0.140348808","CLMB"
"CLMB","349","Co59","*","CLMB"
"CLMB","350","Co59","0.177864849","CLMB"
"CLMB","352","Co59","*","CLMB"
"CLMB","353","Co59","0.17500909","CLMB"
"CLMB","354","Co59","*","CLMB"
"CLMB","356","Co59","0.093649211","CLMB"
"CLMB","358","Co59","0.229081747","CLMB"
"CLMB","359","Co59","*","CLMB"
"CLMB","360","Co59","0.216974606","CLMB"
"CLMB","361","Co59","0.096641098","CLMB"
"CLMB","363","Co59","*","CLMB"
"CLMB","364","Co59","0.097591117","CLMB"
"CLMB","365","Co59","0.091536431","CLMB"
"CLMB","366","Co59","0.055317338","CLMB"
"CLMB","367","Co59","0.096857686","CLMB"
"CLMB","368","Co59","0.12473016","CLMB"
"CLMB","369","Co59","*","CLMB"
"CLMB","370","Co59","0.053331699","CLMB"
"CLMB","371","Co59","0.163258178","CLMB"
"CLMB","372","Co59","*","CLMB"
"CLMB","373","Co59","0.036095674","CLMB"
"CLMB","374","Co59","0.206464247","CLMB"
"CLMB","375","Co59","0.098890774","CLMB"
"CLMB","377","Co59","0.074791037","CLMB"
"CLMB","378","Co59","0.062762825","CLMB"
"CLMB","379","Co59","0.075186886","CLMB"
"CLMB","380","Co59","0.096315915","CLMB"
"CLMB","381","Co59","0.039456115","CLMB"
"CLMB","382","Co59","0.125396656","CLMB"
"CLMB","383","Co59","0.089473694","CLMB"
"CLMB","384","Co59","*","CLMB"
"CLMB","386","Co59","0.203207026","CLMB"
"CLMB","388","Co59","0.041940131","CLMB"
"CLMB","389","Co59","0.160311499","CLMB"
"CLMB","390","Co59","*","CLMB"
"CLMB","391","Co59","*","CLMB"
"CLMB","392","Co59","*","CLMB"
"CLMB","393","Co59","0.156438043","CLMB"
"CLMB","394","Co59","*","CLMB"
"CLMB","395","Co59","0.255549932","CLMB"
"CLMB","396","Co59","0.046596002","CLMB"
"CLMB","397","Co59","0.06564598","CLMB"
"CLMB","398","Co59","0.213110331","CLMB"
"CLMB","399","Co59","*","CLMB"
"CLMB","400","Co59","0.070841857","CLMB"
"CLMB","402","Co59","*","CLMB"
"CLMB","403","Co59","*","CLMB"
"CLMB","404","Co59","0.120591179","CLMB"
"CLMB","405","Co59","0.045107729","CLMB"
"CLMB","406","Co59","0.074029885","CLMB"
"CLMB","407","Co59","0.049866251","CLMB"
"CLMB","408","Co59","0.070295431","CLMB"
"CLMB","409","Co59","*","CLMB"
"CLMB","410","Co59","0.142815355","CLMB"
"CLMB","411","Co59","0.103680119","CLMB"
"CLMB","412","Co59","*","CLMB"
"CLMB","413","Co59","0.057962342","CLMB"
"CLMB","414","Co59","0.106681465","CLMB"
"CLMB","415","Co59","*","CLMB"
"CLMB","416","Co59","*","CLMB"
"CLMB","417","Co59","0.142546707","CLMB"
"CLMB","418","Co59","0.112895182","CLMB"
"CLMB","419","Co59","0.128387771","CLMB"
"CLMB","420","Co59","0.090781601","CLMB"
"CLMB","421","Co59","0.143244393","CLMB"
"CLMB","422","Co59","0.147746699","CLMB"
"CLMB","423","Co59","0.15339045","CLMB"
"CLMB","424","Co59","0.179622243","CLMB"
"CLMB","425","Co59","0.24059397","CLMB"
"CLMB","426","Co59","0.135667772","CLMB"
"CLMB","427","Co59","*","CLMB"
"CLMB","428","Co59","0.118272203","CLMB"
"CLMB","429","Co59","*","CLMB"
"CLMB","431","Co59","0.157991827","CLMB"
"CLMB","432","Co59","0.251244949","CLMB"
"CLMB","433","Co59","0.065137857","CLMB"
"CLMB","435","Co59","0.22709728","CLMB"
"CLMB","436","Co59","0.111329748","CLMB"
"CLMB","437","Co59","0.170353536","CLMB"
"CLMB","438","Co59","0.053388708","CLMB"
"CLMB","439","Co59","0.128862309","CLMB"
"CLMB","440","Co59","*","CLMB"
"CLMB","442","Co59","0.138668422","CLMB"
"CLMB","443","Co59","0.090874562","CLMB"
"CLMB","444","Co59","0.083923425","CLMB"
"CLMB","445","Co59","0.13051922","CLMB"
"CLMB","446","Co59","0.235152341","CLMB"
"CLMB","447","Co59","0.104322825","CLMB"
"CLMB","448","Co59","0.10268063","CLMB"
"CLMB","449","Co59","0.159409752","CLMB"
"CLMB","450","Co59","0.162444033","CLMB"
"CLMB","451","Co59","0.094092903","CLMB"
"CLMB","452","Co59","*","CLMB"
"CLMB","453","Co59","0.101299571","CLMB"
"CLMB","454","Co59","0.163044862","CLMB"
"CLMB","455","Co59","0.064318535","CLMB"
"CLMB","456","Co59","0.117043806","CLMB"
"CLMB","458","Co59","0.133811738","CLMB"
"CLMB","459","Co59","0.19869881","CLMB"
"CLMB","460","Co59","0.109807008","CLMB"
"CLMB","461","Co59","*","CLMB"
"CLMB","462","Co59","*","CLMB"
"CLMB","463","Co59","0.05187166","CLMB"
"CLMB","464","Co59","0.178119886","CLMB"
"CLMB","465","Co59","*","CLMB"
"CLMB","466","Co59","0.208619775","CLMB"
"CLMB","467","Co59","*","CLMB"
"CLMB","468","Co59","0.031494777","CLMB"
"CLMB","469","Co59","*","CLMB"
"CLMB","470","Co59","*","CLMB"
"CLMB","471","Co59","*","CLMB"
"CLMB","472","Co59","0.041034649","CLMB"
"CLMB","473","Co59","0.077733026","CLMB"
"CLMB","474","Co59","0.139123423","CLMB"
"CLMB","475","Co59","0.112199834","CLMB"
"CLMB","476","Co59","0.16078919","CLMB"
"CLMB","477","Co59","0.202017063","CLMB"
"CLMB","479","Co59","*","CLMB"
"CLMB","480","Co59","*","CLMB"
"CLMB","482","Co59","0.10504827","CLMB"
"CLMB","483","Co59","0.187260445","CLMB"
"CLMB","484","Co59","0.199143253","CLMB"
"CLMB","485","Co59","0.075615216","CLMB"
"CLMB","486","Co59","*","CLMB"
"CLMB","487","Co59","*","CLMB"
"CLMB","488","Co59","*","CLMB"
"CLMB","489","Co59","0.056156212","CLMB"
"CLMB","491","Co59","*","CLMB"
"CLMB","492","Co59","0.0812579","CLMB"
"CLMB","493","Co59","*","CLMB"
"CLMB","494","Co59","0.109639855","CLMB"
"CLMB","495","Co59","*","CLMB"
"CLMB","496","Co59","0.125903023","CLMB"
"CLMB","497","Co59","0.209409991","CLMB"
"CLMB","498","Co59","*","CLMB"
"CLMB","499","Co59","0.163662145","CLMB"
"CLMB","500","Co59","*","CLMB"
"CLMB","501","Co59","0.129279574","CLMB"
"CLMB","502","Co59","0.088357904","CLMB"
"CLMB","503","Co59","0.108351681","CLMB"
"CLMB","504","Co59","*","CLMB"
"CLMB","505","Co59","*","CLMB"
"CLMB","506","Co59","0.116808586","CLMB"
"CLMB","507","Co59","0.125729771","CLMB"
"CLMB","508","Co59","*","CLMB"
"CLMB","511","Co59","0.085669642","CLMB"
"CLMB","512","Co59","0.070848269","CLMB"
"CLMB","513","Co59","*","CLMB"
"CLMB","514","Co59","0.038598234","CLMB"
"CLMB","515","Co59","0.044197618","CLMB"
"CLMB","516","Co59","0.22993292","CLMB"
"CLMB","518","Co59","*","CLMB"
"CLMB","520","Co59","*","CLMB"
"CLMB","521","Co59","0.092449305","CLMB"
"CLMB","522","Co59","0.075185743","CLMB"
"CLMB","523","Co59","0.143688396","CLMB"
"CLMB","524","Co59","0.029452418","CLMB"
"CLMB","525","Co59","0.158053511","CLMB"
"CLMB","526","Co59","0.104428876","CLMB"
"CLMB","527","Co59","0.208900947","CLMB"
"CLMB","529","Co59","0.187214745","CLMB"
"CLMB","530","Co59","*","CLMB"
"CLMB","531","Co59","0.184779418","CLMB"
"CLMB","532","Co59","0.144733476","CLMB"
"CLMB","533","Co59","0.071804916","CLMB"
"CLMB","534","Co59","*","CLMB"
"CLMB","535","Co59","0.055517909","CLMB"
"CLMB","536","Co59","0.067204117","CLMB"
"CLMB","537","Co59","0.137635149","CLMB"
"CLMB","539","Co59","0.075349244","CLMB"
"CLMB","540","Co59","0.079733219","CLMB"
"CLMB","541","Co59","0.12236826","CLMB"
"CLMB","542","Co59","0.111232912","CLMB"
"CLMB","544","Co59","0.19114639","CLMB"
"CLMB","545","Co59","0.103870028","CLMB"
"CLMB","546","Co59","0.062412152","CLMB"
"CLMB","547","Co59","0.218076752","CLMB"
"CLMB","548","Co59","*","CLMB"
"CLMB","549","Co59","0.114374554","CLMB"
"CLMB","551","Co59","*","CLMB"
"CLMB","552","Co59","0.047284481","CLMB"
"CLMB","553","Co59","0.089328158","CLMB"
"CLMB","555","Co59","0.098889873","CLMB"
"CLMB","556","Co59","*","CLMB"
"CLMB","557","Co59","*","CLMB"
"CLMB","558","Co59","*","CLMB"
"CLMB","559","Co59","*","CLMB"
"CLMB","560","Co59","*","CLMB"
"CLMB","562","Co59","0.200546062","CLMB"
"CLMB","563","Co59","0.108826669","CLMB"
"CLMB","564","Co59","0.062832164","CLMB"
"CLMB","565","Co59","0.088628676","CLMB"
"CLMB","566","Co59","0.059690695","CLMB"
"CLMB","567","Co59","0.071235157","CLMB"
"CLMB","569","Co59","0.090810159","CLMB"
"CLMB","570","Co59","*","CLMB"
"CLMB","571","Co59","0.042624073","CLMB"
"CLMB","572","Co59","0.101429046","CLMB"
"CLMB","573","Co59","0.040553277","CLMB"
"CLMB","574","Co59","0.105839731","CLMB"
"CLMB","576","Co59","*","CLMB"
"CLMB","577","Co59","*","CLMB"
"CLMB","578","Co59","0.120369531","CLMB"
"CLMB","579","Co59","0.088065147","CLMB"
"CLMB","580","Co59","*","CLMB"
"CLMB","581","Co59","0.14772714","CLMB"
"CLMB","583","Co59","0.116970584","CLMB"
"CLMB","584","Co59","0.068128974","CLMB"
"CLMB","585","Co59","0.10398049","CLMB"
"CLMB","586","Co59","*","CLMB"
"CLMB","588","Co59","0.184758934","CLMB"
"CLMB","589","Co59","*","CLMB"
"CLMB","592","Co59","0.122131903","CLMB"
"CLMB","593","Co59","0.155963056","CLMB"
"CLMB","594","Co59","0.092934726","CLMB"
"CLMB","595","Co59","0.127289166","CLMB"
"CLMB","596","Co59","0.09134116","CLMB"
"CLMB","597","Co59","*","CLMB"
"CLMB","598","Co59","*","CLMB"
"CLMB","599","Co59","0.142354422","CLMB"
"CLMB","600","Co59","0.102211783","CLMB"
"CLMB","601","Co59","*","CLMB"
"CLMB","602","Co59","0.229895162","CLMB"
"CLMB","603","Co59","*","CLMB"
"CLMB","604","Co59","*","CLMB"
"CLMB","605","Co59","0.042002566","CLMB"
"CLMB","606","Co59","0.082569267","CLMB"
"CLMB","608","Co59","*","CLMB"
"CLMB","609","Co59","0.078362037","CLMB"
"CLMB","610","Co59","0.09749337","CLMB"
"CLMB","611","Co59","0.058389163","CLMB"
"CLMB","612","Co59","*","CLMB"
"CLMB","613","Co59","0.141926674","CLMB"
"CLMB","614","Co59","0.123723946","CLMB"
"CLMB","618","Co59","0.123339869","CLMB"
"CLMB","619","Co59","0.160952206","CLMB"
"CLMB","620","Co59","*","CLMB"
"CLMB","621","Co59","*","CLMB"
"CLMB","622","Co59","0.11195856","CLMB"
"CLMB","623","Co59","0.152555113","CLMB"
"CLMB","624","Co59","0.048888511","CLMB"
"CLMB","625","Co59","0.212201761","CLMB"
"CLMB","627","Co59","0.23120594","CLMB"
"CLMB","628","Co59","*","CLMB"
"CLMB","629","Co59","0.133016134","CLMB"
"CLMB","630","Co59","*","CLMB"
"CLMB","632","Co59","0.032399887","CLMB"
"CLMB","633","Co59","0.090800925","CLMB"
"CLMB","634","Co59","*","CLMB"
"CLMB","635","Co59","0.173153301","CLMB"
"CLMB","636","Co59","0.07566793","CLMB"
"CLMB","637","Co59","0.117295321","CLMB"
"CLMB","638","Co59","*","CLMB"
"CLMB","639","Co59","0.122153454","CLMB"
"CLMB","640","Co59","*","CLMB"
"CLMB","641","Co59","0.150509053","CLMB"
"CLMB","642","Co59","0.073342021","CLMB"
"CLMB","643","Co59","0.064143444","CLMB"
"CLMB","644","Co59","*","CLMB"
"CLMB","645","Co59","0.096689456","CLMB"
"CLMB","647","Co59","0.114628094","CLMB"
"CLMB","648","Co59","*","CLMB"
"CLMB","649","Co59","0.245526323","CLMB"
"CLMB","652","Co59","*","CLMB"
"CLMB","654","Co59","0.116571335","CLMB"
"CLMB","655","Co59","0.07673877","CLMB"
"CLMB","656","Co59","0.182197656","CLMB"
"CLMB","657","Co59","0.100351904","CLMB"
"CLMB","658","Co59","*","CLMB"
"CLMB","660","Co59","0.064171845","CLMB"
"CLMB","661","Co59","0.09441207","CLMB"
"CLMB","663","Co59","0.185535306","CLMB"
"CLMB","664","Co59","0.043019287","CLMB"
"CLMB","666","Co59","*","CLMB"
"CLMB","667","Co59","0.090541734","CLMB"
"CLMB","668","Co59","0.142898925","CLMB"
"CLMB","669","Co59","0.015377387","CLMB"
"CLMB","670","Co59","*","CLMB"
"CLMB","671","Co59","0.137428165","CLMB"
"CLMB","672","Co59","0.224881791","CLMB"
"CLMB","673","Co59","0.048860755","CLMB"
"CLMB","674","Co59","0.111020882","CLMB"
"CLMB","675","Co59","0.194340119","CLMB"
"CLMB","677","Co59","*","CLMB"
"CLMB","679","Co59","*","CLMB"
"CLMB","680","Co59","0.113680957","CLMB"
"CLMB","681","Co59","0.15130278","CLMB"
"CLMB","682","Co59","0.045603035","CLMB"
"CLMB","683","Co59","*","CLMB"
"CLMB","684","Co59","0.186572075","CLMB"
"CLMB","685","Co59","0.155416001","CLMB"
"CLMB","686","Co59","0.051391539","CLMB"
"CLMB","689","Co59","0.092759429","CLMB"
"CLMB","690","Co59","0.137261733","CLMB"
"CLMB","691","Co59","0.188717776","CLMB"
"CLMB","692","Co59","*","CLMB"
"CLMB","693","Co59","0.204862553","CLMB"
"CLMB","694","Co59","0.214144189","CLMB"
"CLMB","695","Co59","*","CLMB"
"CLMB","696","Co59","0.204160134","CLMB"
"CLMB","697","Co59","*","CLMB"
"CLMB","698","Co59","0.119984579","CLMB"
