"SITE","LINE","traits","Cd111","SITE2"
"CLMB","73","Cd111","0.032226857","CLMB"
"CLMB","74","Cd111","0.025706049","CLMB"
"CLMB","75","Cd111","0.01181231","CLMB"
"CLMB","76","Cd111","0.005982213","CLMB"
"CLMB","77","Cd111","*","CLMB"
"CLMB","78","Cd111","0.018422445","CLMB"
"CLMB","79","Cd111","0.026474173","CLMB"
"CLMB","80","Cd111","0.034744268","CLMB"
"CLMB","81","Cd111","*","CLMB"
"CLMB","83","Cd111","0.006612831","CLMB"
"CLMB","84","Cd111","*","CLMB"
"CLMB","85","Cd111","0.036889471","CLMB"
"CLMB","86","Cd111","0.015903197","CLMB"
"CLMB","87","Cd111","0.031215742","CLMB"
"CLMB","88","Cd111","0.007756143","CLMB"
"CLMB","89","Cd111","0.011813298","CLMB"
"CLMB","90","Cd111","0.024701774","CLMB"
"CLMB","91","Cd111","0.023850122","CLMB"
"CLMB","93","Cd111","0.020800081","CLMB"
"CLMB","94","Cd111","0.010346993","CLMB"
"CLMB","95","Cd111","*","CLMB"
"CLMB","96","Cd111","*","CLMB"
"CLMB","97","Cd111","0.005471121","CLMB"
"CLMB","99","Cd111","0.020393728","CLMB"
"CLMB","100","Cd111","0.046380342","CLMB"
"CLMB","101","Cd111","*","CLMB"
"CLMB","102","Cd111","0.016564794","CLMB"
"CLMB","103","Cd111","0.033930019","CLMB"
"CLMB","104","Cd111","0.032264897","CLMB"
"CLMB","105","Cd111","0.020183385","CLMB"
"CLMB","106","Cd111","0.050749304","CLMB"
"CLMB","107","Cd111","0.00817119","CLMB"
"CLMB","110","Cd111","0.030222778","CLMB"
"CLMB","111","Cd111","0.025475746","CLMB"
"CLMB","112","Cd111","0.029824888","CLMB"
"CLMB","113","Cd111","*","CLMB"
"CLMB","114","Cd111","0.022110916","CLMB"
"CLMB","115","Cd111","*","CLMB"
"CLMB","116","Cd111","0.042195771","CLMB"
"CLMB","117","Cd111","0.051654803","CLMB"
"CLMB","118","Cd111","0.015173039","CLMB"
"CLMB","119","Cd111","0.034197208","CLMB"
"CLMB","120","Cd111","0.020413531","CLMB"
"CLMB","122","Cd111","0.018833909","CLMB"
"CLMB","123","Cd111","0.062699558","CLMB"
"CLMB","125","Cd111","0.006362347","CLMB"
"CLMB","126","Cd111","*","CLMB"
"CLMB","127","Cd111","*","CLMB"
"CLMB","128","Cd111","0.002969528","CLMB"
"CLMB","130","Cd111","0.006543325","CLMB"
"CLMB","131","Cd111","0.013457926","CLMB"
"CLMB","132","Cd111","0.005731515","CLMB"
"CLMB","134","Cd111","0.003701125","CLMB"
"CLMB","135","Cd111","0.044601087","CLMB"
"CLMB","136","Cd111","*","CLMB"
"CLMB","137","Cd111","0.012781984","CLMB"
"CLMB","138","Cd111","*","CLMB"
"CLMB","139","Cd111","*","CLMB"
"CLMB","141","Cd111","0.011258709","CLMB"
"CLMB","142","Cd111","0.035926742","CLMB"
"CLMB","143","Cd111","0.024688689","CLMB"
"CLMB","144","Cd111","*","CLMB"
"CLMB","145","Cd111","0.050199158","CLMB"
"CLMB","146","Cd111","*","CLMB"
"CLMB","147","Cd111","0.041708879","CLMB"
"CLMB","148","Cd111","*","CLMB"
"CLMB","150","Cd111","0.023922303","CLMB"
"CLMB","151","Cd111","0.026339019","CLMB"
"CLMB","152","Cd111","*","CLMB"
"CLMB","153","Cd111","0.007387732","CLMB"
"CLMB","154","Cd111","0.019065096","CLMB"
"CLMB","155","Cd111","0.015454073","CLMB"
"CLMB","156","Cd111","0.006644799","CLMB"
"CLMB","157","Cd111","0.057305259","CLMB"
"CLMB","158","Cd111","0.017060715","CLMB"
"CLMB","159","Cd111","0.058818057","CLMB"
"CLMB","161","Cd111","0.002419715","CLMB"
"CLMB","163","Cd111","0.05041807","CLMB"
"CLMB","164","Cd111","0.007223723","CLMB"
"CLMB","166","Cd111","0.041293648","CLMB"
"CLMB","167","Cd111","0.042596907","CLMB"
"CLMB","168","Cd111","0.003827429","CLMB"
"CLMB","169","Cd111","*","CLMB"
"CLMB","170","Cd111","0.027842707","CLMB"
"CLMB","171","Cd111","0.003983404","CLMB"
"CLMB","172","Cd111","0.025001325","CLMB"
"CLMB","173","Cd111","0.016015465","CLMB"
"CLMB","174","Cd111","0.066685699","CLMB"
"CLMB","175","Cd111","0.019092564","CLMB"
"CLMB","176","Cd111","0.012017567","CLMB"
"CLMB","177","Cd111","0.049532243","CLMB"
"CLMB","178","Cd111","0.003995963","CLMB"
"CLMB","179","Cd111","0.00885515","CLMB"
"CLMB","180","Cd111","0.02146968","CLMB"
"CLMB","181","Cd111","0.039713814","CLMB"
"CLMB","182","Cd111","0.030678615","CLMB"
"CLMB","184","Cd111","0.005320348","CLMB"
"CLMB","185","Cd111","*","CLMB"
"CLMB","186","Cd111","0.049325293","CLMB"
"CLMB","187","Cd111","0.039157411","CLMB"
"CLMB","188","Cd111","0.007984986","CLMB"
"CLMB","189","Cd111","*","CLMB"
"CLMB","190","Cd111","*","CLMB"
"CLMB","191","Cd111","0.021787378","CLMB"
"CLMB","192","Cd111","0.016992724","CLMB"
"CLMB","193","Cd111","0.024893539","CLMB"
"CLMB","194","Cd111","0.017713123","CLMB"
"CLMB","195","Cd111","0.028715459","CLMB"
"CLMB","196","Cd111","0.007374902","CLMB"
"CLMB","197","Cd111","0.00416556","CLMB"
"CLMB","198","Cd111","0.019969228","CLMB"
"CLMB","199","Cd111","0.018576725","CLMB"
"CLMB","200","Cd111","0.044767125","CLMB"
"CLMB","201","Cd111","*","CLMB"
"CLMB","203","Cd111","0.031638912","CLMB"
"CLMB","204","Cd111","0.011635356","CLMB"
"CLMB","205","Cd111","*","CLMB"
"CLMB","207","Cd111","0.01310929","CLMB"
"CLMB","208","Cd111","*","CLMB"
"CLMB","209","Cd111","0.046879057","CLMB"
"CLMB","210","Cd111","0.046243907","CLMB"
"CLMB","211","Cd111","0.023824869","CLMB"
"CLMB","212","Cd111","0.021333619","CLMB"
"CLMB","213","Cd111","0.025910969","CLMB"
"CLMB","214","Cd111","*","CLMB"
"CLMB","215","Cd111","0.009914082","CLMB"
"CLMB","216","Cd111","0.034648426","CLMB"
"CLMB","217","Cd111","*","CLMB"
"CLMB","218","Cd111","0.074339606","CLMB"
"CLMB","219","Cd111","0.02282211","CLMB"
"CLMB","220","Cd111","*","CLMB"
"CLMB","221","Cd111","0.0092873","CLMB"
"CLMB","222","Cd111","0.021280104","CLMB"
"CLMB","223","Cd111","0.029004168","CLMB"
"CLMB","224","Cd111","0.006530362","CLMB"
"CLMB","225","Cd111","0.031770782","CLMB"
"CLMB","226","Cd111","0.036788699","CLMB"
"CLMB","227","Cd111","0.023087023","CLMB"
"CLMB","228","Cd111","0.017136875","CLMB"
"CLMB","229","Cd111","0.006207706","CLMB"
"CLMB","230","Cd111","*","CLMB"
"CLMB","231","Cd111","0.032242548","CLMB"
"CLMB","232","Cd111","0.018574704","CLMB"
"CLMB","233","Cd111","0.013145641","CLMB"
"CLMB","234","Cd111","0.01649333","CLMB"
"CLMB","235","Cd111","0.0188512445","CLMB"
"CLMB","236","Cd111","0.013326245","CLMB"
"CLMB","237","Cd111","0.013969035","CLMB"
"CLMB","238","Cd111","0.027503504","CLMB"
"CLMB","239","Cd111","0.029082048","CLMB"
"CLMB","240","Cd111","0.035742554","CLMB"
"CLMB","241","Cd111","0.03605633","CLMB"
"CLMB","242","Cd111","0.016115948","CLMB"
"CLMB","243","Cd111","0.067316204","CLMB"
"CLMB","244","Cd111","0.018960207","CLMB"
"CLMB","245","Cd111","0.012003452","CLMB"
"CLMB","246","Cd111","0.008416089","CLMB"
"CLMB","247","Cd111","0.051150351","CLMB"
"CLMB","248","Cd111","0.047531318","CLMB"
"CLMB","249","Cd111","0.016191065","CLMB"
"CLMB","250","Cd111","0.0111733","CLMB"
"CLMB","251","Cd111","0.009869552","CLMB"
"CLMB","252","Cd111","0.02488068","CLMB"
"CLMB","253","Cd111","0.006760971","CLMB"
"CLMB","254","Cd111","0.034060119","CLMB"
"CLMB","255","Cd111","0.043103262","CLMB"
"CLMB","256","Cd111","0.032862934","CLMB"
"CLMB","257","Cd111","0.025589429","CLMB"
"CLMB","258","Cd111","0.013247536","CLMB"
"CLMB","259","Cd111","*","CLMB"
"CLMB","260","Cd111","0.004607381","CLMB"
"CLMB","261","Cd111","0.017069487","CLMB"
"CLMB","262","Cd111","0.061095333","CLMB"
"CLMB","263","Cd111","0.005021016","CLMB"
"CLMB","264","Cd111","0.011025573","CLMB"
"CLMB","265","Cd111","0.005566514","CLMB"
"CLMB","267","Cd111","0.003627831","CLMB"
"CLMB","268","Cd111","*","CLMB"
"CLMB","269","Cd111","0.017029029","CLMB"
"CLMB","270","Cd111","0.009349221","CLMB"
"CLMB","271","Cd111","0.01004385","CLMB"
"CLMB","272","Cd111","0.013670825","CLMB"
"CLMB","273","Cd111","*","CLMB"
"CLMB","274","Cd111","0.003312987","CLMB"
"CLMB","275","Cd111","0.050379851","CLMB"
"CLMB","276","Cd111","*","CLMB"
"CLMB","277","Cd111","0.034421411","CLMB"
"CLMB","278","Cd111","0.013427774","CLMB"
"CLMB","279","Cd111","0.02890331","CLMB"
"CLMB","281","Cd111","*","CLMB"
"CLMB","282","Cd111","0.0425251275","CLMB"
"CLMB","283","Cd111","*","CLMB"
"CLMB","284","Cd111","0.014105505","CLMB"
"CLMB","285","Cd111","0.031353136","CLMB"
"CLMB","286","Cd111","0.036477601","CLMB"
"CLMB","287","Cd111","0.043641706","CLMB"
"CLMB","288","Cd111","0.027027639","CLMB"
"CLMB","289","Cd111","0.025494675","CLMB"
"CLMB","290","Cd111","0.023532145","CLMB"
"CLMB","292","Cd111","*","CLMB"
"CLMB","293","Cd111","0.029638696","CLMB"
"CLMB","294","Cd111","0.016539787","CLMB"
"CLMB","296","Cd111","0.011263435","CLMB"
"CLMB","297","Cd111","0.037382","CLMB"
"CLMB","298","Cd111","0.052883773","CLMB"
"CLMB","299","Cd111","0.018619436","CLMB"
"CLMB","300","Cd111","*","CLMB"
"CLMB","301","Cd111","0.023275342","CLMB"
"CLMB","302","Cd111","0.015381175","CLMB"
"CLMB","303","Cd111","0.023140264","CLMB"
"CLMB","304","Cd111","0.020802866","CLMB"
"CLMB","305","Cd111","0.033967944","CLMB"
"CLMB","306","Cd111","*","CLMB"
"CLMB","307","Cd111","0.022610258","CLMB"
"CLMB","308","Cd111","0.020204538","CLMB"
"CLMB","310","Cd111","0.045155125","CLMB"
"CLMB","311","Cd111","0.012120049","CLMB"
"CLMB","312","Cd111","0.017455283","CLMB"
"CLMB","313","Cd111","0.005750138","CLMB"
"CLMB","314","Cd111","0.040161284","CLMB"
"CLMB","315","Cd111","0.024155569","CLMB"
"CLMB","317","Cd111","0.045437817","CLMB"
"CLMB","318","Cd111","0.016192514","CLMB"
"CLMB","320","Cd111","0.020646321","CLMB"
"CLMB","322","Cd111","0.01575458","CLMB"
"CLMB","323","Cd111","0.025122716","CLMB"
"CLMB","324","Cd111","0.047492636","CLMB"
"CLMB","325","Cd111","0.004281687","CLMB"
"CLMB","326","Cd111","0.014667348","CLMB"
"CLMB","328","Cd111","0.062085227","CLMB"
"CLMB","330","Cd111","0.069350853","CLMB"
"CLMB","332","Cd111","0.016540456","CLMB"
"CLMB","333","Cd111","0.044329741","CLMB"
"CLMB","334","Cd111","0.015779743","CLMB"
"CLMB","335","Cd111","*","CLMB"
"CLMB","336","Cd111","0.005016088","CLMB"
"CLMB","337","Cd111","0.005829855","CLMB"
"CLMB","338","Cd111","0.037153085","CLMB"
"CLMB","339","Cd111","0.011630142","CLMB"
"CLMB","340","Cd111","*","CLMB"
"CLMB","341","Cd111","0.016522993","CLMB"
"CLMB","342","Cd111","0.016736329","CLMB"
"CLMB","343","Cd111","0.02583342","CLMB"
"CLMB","345","Cd111","0.022937718","CLMB"
"CLMB","346","Cd111","*","CLMB"
"CLMB","347","Cd111","0.013279935","CLMB"
"CLMB","349","Cd111","*","CLMB"
"CLMB","350","Cd111","0.016999934","CLMB"
"CLMB","352","Cd111","0.01742837","CLMB"
"CLMB","353","Cd111","0.01386387","CLMB"
"CLMB","354","Cd111","0.046029654","CLMB"
"CLMB","355","Cd111","0.032222928","CLMB"
"CLMB","356","Cd111","0.023879587","CLMB"
"CLMB","358","Cd111","0.016964442","CLMB"
"CLMB","359","Cd111","0.023150127","CLMB"
"CLMB","360","Cd111","0.016266284","CLMB"
"CLMB","361","Cd111","0.061440627","CLMB"
"CLMB","363","Cd111","*","CLMB"
"CLMB","364","Cd111","0.017512114","CLMB"
"CLMB","365","Cd111","0.007907372","CLMB"
"CLMB","366","Cd111","0.028458707","CLMB"
"CLMB","367","Cd111","0.034928076","CLMB"
"CLMB","368","Cd111","0.028727945","CLMB"
"CLMB","369","Cd111","*","CLMB"
"CLMB","370","Cd111","0.026092215","CLMB"
"CLMB","371","Cd111","*","CLMB"
"CLMB","372","Cd111","*","CLMB"
"CLMB","373","Cd111","0.020949577","CLMB"
"CLMB","374","Cd111","0.015981776","CLMB"
"CLMB","375","Cd111","0.004239481","CLMB"
"CLMB","377","Cd111","0.00429544","CLMB"
"CLMB","378","Cd111","0.02037732","CLMB"
"CLMB","379","Cd111","0.015074434","CLMB"
"CLMB","380","Cd111","0.024064756","CLMB"
"CLMB","381","Cd111","0.024365476","CLMB"
"CLMB","382","Cd111","0.010724709","CLMB"
"CLMB","383","Cd111","0.022619769","CLMB"
"CLMB","384","Cd111","*","CLMB"
"CLMB","386","Cd111","0.021102593","CLMB"
"CLMB","388","Cd111","0.021331841","CLMB"
"CLMB","389","Cd111","0.019032442","CLMB"
"CLMB","390","Cd111","0.064720404","CLMB"
"CLMB","391","Cd111","*","CLMB"
"CLMB","392","Cd111","0.009028295","CLMB"
"CLMB","393","Cd111","0.047013132","CLMB"
"CLMB","394","Cd111","*","CLMB"
"CLMB","395","Cd111","0.013851207","CLMB"
"CLMB","396","Cd111","0.030103057","CLMB"
"CLMB","397","Cd111","0.02306378","CLMB"
"CLMB","398","Cd111","0.015326765","CLMB"
"CLMB","399","Cd111","0.007630666","CLMB"
"CLMB","400","Cd111","0.004730289","CLMB"
"CLMB","402","Cd111","0.04033273","CLMB"
"CLMB","404","Cd111","0.009607307","CLMB"
"CLMB","405","Cd111","0.021641749","CLMB"
"CLMB","406","Cd111","0.009551308","CLMB"
"CLMB","407","Cd111","0.006594612","CLMB"
"CLMB","408","Cd111","0.003683919","CLMB"
"CLMB","409","Cd111","0.039037161","CLMB"
"CLMB","410","Cd111","0.024471665","CLMB"
"CLMB","411","Cd111","0.016815817","CLMB"
"CLMB","412","Cd111","0.003259266","CLMB"
"CLMB","413","Cd111","0.024036774","CLMB"
"CLMB","414","Cd111","0.026219742","CLMB"
"CLMB","415","Cd111","*","CLMB"
"CLMB","416","Cd111","*","CLMB"
"CLMB","417","Cd111","0.027496696","CLMB"
"CLMB","418","Cd111","0.005237865","CLMB"
"CLMB","419","Cd111","0.024093443","CLMB"
"CLMB","420","Cd111","0.023778085","CLMB"
"CLMB","421","Cd111","0.02361788","CLMB"
"CLMB","422","Cd111","0.014290074","CLMB"
"CLMB","423","Cd111","0.016078341","CLMB"
"CLMB","424","Cd111","0.026616864","CLMB"
"CLMB","425","Cd111","0.019863089","CLMB"
"CLMB","426","Cd111","0.01946867","CLMB"
"CLMB","427","Cd111","*","CLMB"
"CLMB","428","Cd111","0.007892465","CLMB"
"CLMB","429","Cd111","0.052469952","CLMB"
"CLMB","431","Cd111","0.027015866","CLMB"
"CLMB","432","Cd111","0.019534061","CLMB"
"CLMB","433","Cd111","0.053423212","CLMB"
"CLMB","435","Cd111","0.036336353","CLMB"
"CLMB","436","Cd111","0.033244088","CLMB"
"CLMB","437","Cd111","0.014342386","CLMB"
"CLMB","438","Cd111","0.065429937","CLMB"
"CLMB","439","Cd111","0.033466264","CLMB"
"CLMB","440","Cd111","*","CLMB"
"CLMB","442","Cd111","0.00958664","CLMB"
"CLMB","443","Cd111","0.031536232","CLMB"
"CLMB","444","Cd111","0.002877414","CLMB"
"CLMB","445","Cd111","0.050595987","CLMB"
"CLMB","446","Cd111","0.02563115","CLMB"
"CLMB","447","Cd111","0.00862589","CLMB"
"CLMB","448","Cd111","0.009602854","CLMB"
"CLMB","449","Cd111","0.036302347","CLMB"
"CLMB","450","Cd111","0.023769818","CLMB"
"CLMB","451","Cd111","0.071306462","CLMB"
"CLMB","452","Cd111","0.017748992","CLMB"
"CLMB","453","Cd111","0.009908337","CLMB"
"CLMB","454","Cd111","0.030768139","CLMB"
"CLMB","455","Cd111","0.004870592","CLMB"
"CLMB","456","Cd111","0.003330326","CLMB"
"CLMB","458","Cd111","0.032877301","CLMB"
"CLMB","459","Cd111","0.019380547","CLMB"
"CLMB","460","Cd111","0.012532071","CLMB"
"CLMB","461","Cd111","0.013508162","CLMB"
"CLMB","462","Cd111","0.015385454","CLMB"
"CLMB","463","Cd111","0.00319487","CLMB"
"CLMB","464","Cd111","0.029782604","CLMB"
"CLMB","465","Cd111","0.007747211","CLMB"
"CLMB","466","Cd111","0.01025016","CLMB"
"CLMB","467","Cd111","*","CLMB"
"CLMB","468","Cd111","0.013648458","CLMB"
"CLMB","469","Cd111","*","CLMB"
"CLMB","470","Cd111","0.045848955","CLMB"
"CLMB","471","Cd111","0.037358117","CLMB"
"CLMB","472","Cd111","0.021589832","CLMB"
"CLMB","473","Cd111","0.013676108","CLMB"
"CLMB","474","Cd111","0.028791884","CLMB"
"CLMB","475","Cd111","0.019271057","CLMB"
"CLMB","476","Cd111","0.041009616","CLMB"
"CLMB","477","Cd111","0.018074239","CLMB"
"CLMB","479","Cd111","0.031535267","CLMB"
"CLMB","480","Cd111","*","CLMB"
"CLMB","482","Cd111","0.021435873","CLMB"
"CLMB","483","Cd111","0.006876435","CLMB"
"CLMB","484","Cd111","0.010438006","CLMB"
"CLMB","485","Cd111","0.023447245","CLMB"
"CLMB","486","Cd111","0.027911213","CLMB"
"CLMB","487","Cd111","0.027210395","CLMB"
"CLMB","488","Cd111","0.014107585","CLMB"
"CLMB","489","Cd111","0.047412536","CLMB"
"CLMB","491","Cd111","0.008548842","CLMB"
"CLMB","492","Cd111","0.009484099","CLMB"
"CLMB","493","Cd111","*","CLMB"
"CLMB","494","Cd111","0.005222509","CLMB"
"CLMB","495","Cd111","*","CLMB"
"CLMB","496","Cd111","0.080386137","CLMB"
"CLMB","497","Cd111","0.065403002","CLMB"
"CLMB","498","Cd111","0.016697842","CLMB"
"CLMB","499","Cd111","0.006267067","CLMB"
"CLMB","500","Cd111","0.047808353","CLMB"
"CLMB","501","Cd111","0.042598854","CLMB"
"CLMB","502","Cd111","0.007056173","CLMB"
"CLMB","503","Cd111","0.015645972","CLMB"
"CLMB","504","Cd111","*","CLMB"
"CLMB","505","Cd111","0.040614574","CLMB"
"CLMB","506","Cd111","0.017087113","CLMB"
"CLMB","507","Cd111","0.010256576","CLMB"
"CLMB","508","Cd111","0.048960916","CLMB"
"CLMB","511","Cd111","0.023560348","CLMB"
"CLMB","512","Cd111","0.023381667","CLMB"
"CLMB","513","Cd111","*","CLMB"
"CLMB","514","Cd111","0.033057868","CLMB"
"CLMB","515","Cd111","0.022747406","CLMB"
"CLMB","516","Cd111","0.019099738","CLMB"
"CLMB","518","Cd111","*","CLMB"
"CLMB","519","Cd111","0.012797171","CLMB"
"CLMB","520","Cd111","*","CLMB"
"CLMB","521","Cd111","0.008307706","CLMB"
"CLMB","522","Cd111","0.022649717","CLMB"
"CLMB","523","Cd111","0.05069612","CLMB"
"CLMB","524","Cd111","0.02610024","CLMB"
"CLMB","525","Cd111","0.031371961","CLMB"
"CLMB","526","Cd111","0.013250467","CLMB"
"CLMB","527","Cd111","0.017854491","CLMB"
"CLMB","529","Cd111","0.04314055","CLMB"
"CLMB","530","Cd111","0.013317253","CLMB"
"CLMB","531","Cd111","0.024542761","CLMB"
"CLMB","532","Cd111","0.050479598","CLMB"
"CLMB","533","Cd111","0.01675206","CLMB"
"CLMB","534","Cd111","0.047476385","CLMB"
"CLMB","535","Cd111","0.012738892","CLMB"
"CLMB","536","Cd111","0.027951926","CLMB"
"CLMB","537","Cd111","0.008783953","CLMB"
"CLMB","539","Cd111","0.006356442","CLMB"
"CLMB","540","Cd111","0.035369719","CLMB"
"CLMB","541","Cd111","0.0410334","CLMB"
"CLMB","542","Cd111","0.017581007","CLMB"
"CLMB","544","Cd111","0.021612088","CLMB"
"CLMB","545","Cd111","0.014500764","CLMB"
"CLMB","546","Cd111","0.026333565","CLMB"
"CLMB","547","Cd111","0.056308582","CLMB"
"CLMB","548","Cd111","0.022595615","CLMB"
"CLMB","549","Cd111","0.010389608","CLMB"
"CLMB","551","Cd111","*","CLMB"
"CLMB","552","Cd111","0.039415367","CLMB"
"CLMB","553","Cd111","0.020010118","CLMB"
"CLMB","555","Cd111","0.01018583","CLMB"
"CLMB","556","Cd111","*","CLMB"
"CLMB","557","Cd111","*","CLMB"
"CLMB","558","Cd111","0.028124546","CLMB"
"CLMB","559","Cd111","0.031328429","CLMB"
"CLMB","560","Cd111","*","CLMB"
"CLMB","562","Cd111","0.022834442","CLMB"
"CLMB","563","Cd111","0.030878809","CLMB"
"CLMB","564","Cd111","0.003591299","CLMB"
"CLMB","565","Cd111","0.042303538","CLMB"
"CLMB","566","Cd111","0.005642108","CLMB"
"CLMB","567","Cd111","0.007090582","CLMB"
"CLMB","569","Cd111","0.008978756","CLMB"
"CLMB","570","Cd111","0.050886533","CLMB"
"CLMB","571","Cd111","0.024750218","CLMB"
"CLMB","572","Cd111","0.027305364","CLMB"
"CLMB","573","Cd111","0.030076096","CLMB"
"CLMB","574","Cd111","0.005269387","CLMB"
"CLMB","576","Cd111","0.023034471","CLMB"
"CLMB","577","Cd111","*","CLMB"
"CLMB","578","Cd111","0.011365205","CLMB"
"CLMB","579","Cd111","0.028080605","CLMB"
"CLMB","580","Cd111","*","CLMB"
"CLMB","581","Cd111","0.030443798","CLMB"
"CLMB","583","Cd111","0.056099088","CLMB"
"CLMB","584","Cd111","0.021282484","CLMB"
"CLMB","585","Cd111","0.012194468","CLMB"
"CLMB","586","Cd111","0.032103107","CLMB"
"CLMB","588","Cd111","0.04360157","CLMB"
"CLMB","589","Cd111","0.031141852","CLMB"
"CLMB","592","Cd111","0.036201366","CLMB"
"CLMB","593","Cd111","0.007769049","CLMB"
"CLMB","594","Cd111","0.025755961","CLMB"
"CLMB","595","Cd111","0.018480415","CLMB"
"CLMB","596","Cd111","0.044329129","CLMB"
"CLMB","597","Cd111","*","CLMB"
"CLMB","598","Cd111","*","CLMB"
"CLMB","599","Cd111","0.015915673","CLMB"
"CLMB","600","Cd111","0.018547636","CLMB"
"CLMB","601","Cd111","*","CLMB"
"CLMB","602","Cd111","0.019788949","CLMB"
"CLMB","603","Cd111","*","CLMB"
"CLMB","604","Cd111","0.015361807","CLMB"
"CLMB","605","Cd111","0.02879045","CLMB"
"CLMB","606","Cd111","0.014783285","CLMB"
"CLMB","608","Cd111","0.032750962","CLMB"
"CLMB","609","Cd111","0.021332474","CLMB"
"CLMB","610","Cd111","0.021897294","CLMB"
"CLMB","611","Cd111","0.01722852","CLMB"
"CLMB","612","Cd111","0.024237691","CLMB"
"CLMB","613","Cd111","0.056755544","CLMB"
"CLMB","614","Cd111","0.017208882","CLMB"
"CLMB","618","Cd111","0.005465441","CLMB"
"CLMB","619","Cd111","0.014091133","CLMB"
"CLMB","620","Cd111","0.015994718","CLMB"
"CLMB","621","Cd111","0.018109025","CLMB"
"CLMB","622","Cd111","0.004650754","CLMB"
"CLMB","624","Cd111","0.040260815","CLMB"
"CLMB","625","Cd111","0.006034767","CLMB"
"CLMB","627","Cd111","0.064750896","CLMB"
"CLMB","628","Cd111","*","CLMB"
"CLMB","629","Cd111","0.017149333","CLMB"
"CLMB","630","Cd111","*","CLMB"
"CLMB","632","Cd111","0.028378772","CLMB"
"CLMB","633","Cd111","0.014105396","CLMB"
"CLMB","634","Cd111","0.038141211","CLMB"
"CLMB","635","Cd111","0.030544113","CLMB"
"CLMB","636","Cd111","0.014679571","CLMB"
"CLMB","637","Cd111","0.029539417","CLMB"
"CLMB","638","Cd111","0.0452865","CLMB"
"CLMB","639","Cd111","0.025564673","CLMB"
"CLMB","640","Cd111","0.031101556","CLMB"
"CLMB","641","Cd111","0.009613168","CLMB"
"CLMB","642","Cd111","0.010526762","CLMB"
"CLMB","643","Cd111","0.021268197","CLMB"
