"SITE","LINE","traits","Mg26","SITE2"
"CLMB","63","Mg26","741.7853455","CLMB"
"CLMB","64","Mg26","*","CLMB"
"CLMB","65","Mg26","1389.545048","CLMB"
"CLMB","66","Mg26","1154.688994","CLMB"
"CLMB","67","Mg26","811.9365447","CLMB"
"CLMB","68","Mg26","707.2430335","CLMB"
"CLMB","69","Mg26","1171.222588","CLMB"
"CLMB","70","Mg26","*","CLMB"
"CLMB","71","Mg26","1065.673972","CLMB"
"CLMB","72","Mg26","1051.423036","CLMB"
"CLMB","73","Mg26","1409.849696","CLMB"
"CLMB","74","Mg26","1483.639341","CLMB"
"CLMB","75","Mg26","1561.495093","CLMB"
"CLMB","76","Mg26","965.9212556","CLMB"
"CLMB","77","Mg26","*","CLMB"
"CLMB","78","Mg26","1071.379008","CLMB"
"CLMB","79","Mg26","1485.548479","CLMB"
"CLMB","80","Mg26","714.5379409","CLMB"
"CLMB","81","Mg26","*","CLMB"
"CLMB","83","Mg26","971.3663483","CLMB"
"CLMB","84","Mg26","*","CLMB"
"CLMB","85","Mg26","1186.545112","CLMB"
"CLMB","86","Mg26","798.0480471","CLMB"
"CLMB","87","Mg26","1503.905477","CLMB"
"CLMB","88","Mg26","1190.4106","CLMB"
"CLMB","89","Mg26","1256.513705","CLMB"
"CLMB","90","Mg26","1030.933416","CLMB"
"CLMB","91","Mg26","1588.381995","CLMB"
"CLMB","93","Mg26","968.3606637","CLMB"
"CLMB","94","Mg26","1011.477132","CLMB"
"CLMB","95","Mg26","*","CLMB"
"CLMB","96","Mg26","*","CLMB"
"CLMB","97","Mg26","1040.028307","CLMB"
"CLMB","99","Mg26","966.3237986","CLMB"
"CLMB","100","Mg26","1089.016684","CLMB"
"CLMB","101","Mg26","*","CLMB"
"CLMB","102","Mg26","950.0280792","CLMB"
"CLMB","103","Mg26","915.5521879","CLMB"
"CLMB","104","Mg26","1215.399367","CLMB"
"CLMB","105","Mg26","1360.958161","CLMB"
"CLMB","106","Mg26","932.2315872","CLMB"
"CLMB","107","Mg26","1042.737345","CLMB"
"CLMB","110","Mg26","1265.070554","CLMB"
"CLMB","111","Mg26","1379.560852","CLMB"
"CLMB","112","Mg26","1206.650109","CLMB"
"CLMB","113","Mg26","*","CLMB"
"CLMB","114","Mg26","754.8491153","CLMB"
"CLMB","115","Mg26","*","CLMB"
"CLMB","116","Mg26","1358.44384","CLMB"
"CLMB","117","Mg26","1271.493514","CLMB"
"CLMB","118","Mg26","1350.814645","CLMB"
"CLMB","119","Mg26","1552.892923","CLMB"
"CLMB","120","Mg26","1220.725034","CLMB"
"CLMB","122","Mg26","1027.157751","CLMB"
"CLMB","123","Mg26","1398.832252","CLMB"
"CLMB","125","Mg26","1052.291286","CLMB"
"CLMB","126","Mg26","*","CLMB"
"CLMB","127","Mg26","*","CLMB"
"CLMB","128","Mg26","1260.853421","CLMB"
"CLMB","130","Mg26","1083.766183","CLMB"
"CLMB","131","Mg26","1554.6421","CLMB"
"CLMB","132","Mg26","1118.960881","CLMB"
"CLMB","134","Mg26","778.1913501","CLMB"
"CLMB","135","Mg26","1453.963603","CLMB"
"CLMB","136","Mg26","*","CLMB"
"CLMB","137","Mg26","1421.550339","CLMB"
"CLMB","138","Mg26","*","CLMB"
"CLMB","139","Mg26","*","CLMB"
"CLMB","141","Mg26","863.3587929","CLMB"
"CLMB","142","Mg26","1093.83872","CLMB"
"CLMB","143","Mg26","984.0299151","CLMB"
"CLMB","144","Mg26","*","CLMB"
"CLMB","145","Mg26","1252.01861","CLMB"
"CLMB","147","Mg26","752.4676703","CLMB"
"CLMB","148","Mg26","*","CLMB"
"CLMB","150","Mg26","983.3743015","CLMB"
"CLMB","151","Mg26","940.3923354","CLMB"
"CLMB","152","Mg26","*","CLMB"
"CLMB","153","Mg26","1077.315467","CLMB"
"CLMB","154","Mg26","936.4775937","CLMB"
"CLMB","155","Mg26","1424.921365","CLMB"
"CLMB","156","Mg26","1172.815466","CLMB"
"CLMB","157","Mg26","1941.440213","CLMB"
"CLMB","158","Mg26","1076.432886","CLMB"
"CLMB","159","Mg26","1495.33639","CLMB"
"CLMB","161","Mg26","820.7647128","CLMB"
"CLMB","163","Mg26","1526.426583","CLMB"
"CLMB","164","Mg26","1123.481093","CLMB"
"CLMB","166","Mg26","920.8048608","CLMB"
"CLMB","167","Mg26","880.4267366","CLMB"
"CLMB","168","Mg26","928.7876481","CLMB"
"CLMB","169","Mg26","*","CLMB"
"CLMB","170","Mg26","1280.023217","CLMB"
"CLMB","171","Mg26","1009.358004","CLMB"
"CLMB","172","Mg26","1084.482046","CLMB"
"CLMB","173","Mg26","1500.11369","CLMB"
"CLMB","174","Mg26","1902.264876","CLMB"
"CLMB","175","Mg26","813.0203107","CLMB"
"CLMB","176","Mg26","1142.086973","CLMB"
"CLMB","177","Mg26","1146.518192","CLMB"
"CLMB","178","Mg26","995.6594016","CLMB"
"CLMB","179","Mg26","995.8877482","CLMB"
"CLMB","180","Mg26","1060.485084","CLMB"
"CLMB","181","Mg26","1237.978913","CLMB"
"CLMB","182","Mg26","1268.629948","CLMB"
"CLMB","184","Mg26","792.1740822","CLMB"
"CLMB","185","Mg26","1161.139391","CLMB"
"CLMB","186","Mg26","1178.028073","CLMB"
"CLMB","187","Mg26","1282.662724","CLMB"
"CLMB","188","Mg26","1084.852428","CLMB"
"CLMB","189","Mg26","*","CLMB"
"CLMB","190","Mg26","*","CLMB"
"CLMB","191","Mg26","1121.363355","CLMB"
"CLMB","192","Mg26","1131.182554","CLMB"
"CLMB","193","Mg26","1316.106063","CLMB"
"CLMB","194","Mg26","1154.738329","CLMB"
"CLMB","195","Mg26","1151.365714","CLMB"
"CLMB","196","Mg26","1157.187546","CLMB"
"CLMB","197","Mg26","1032.936307","CLMB"
"CLMB","198","Mg26","1151.093927","CLMB"
"CLMB","199","Mg26","790.1222741","CLMB"
"CLMB","200","Mg26","1471.62949","CLMB"
"CLMB","201","Mg26","*","CLMB"
"CLMB","203","Mg26","1134.140606","CLMB"
"CLMB","204","Mg26","1087.592935","CLMB"
"CLMB","205","Mg26","*","CLMB"
"CLMB","207","Mg26","1094.796189","CLMB"
"CLMB","208","Mg26","*","CLMB"
"CLMB","209","Mg26","1069.672273","CLMB"
"CLMB","210","Mg26","1147.535821","CLMB"
"CLMB","211","Mg26","1349.993877","CLMB"
"CLMB","212","Mg26","1235.987692","CLMB"
"CLMB","213","Mg26","1010.457192","CLMB"
"CLMB","214","Mg26","*","CLMB"
"CLMB","215","Mg26","1443.72457","CLMB"
"CLMB","216","Mg26","1154.131702","CLMB"
"CLMB","217","Mg26","*","CLMB"
"CLMB","218","Mg26","1166.581581","CLMB"
"CLMB","219","Mg26","1181.113477","CLMB"
"CLMB","220","Mg26","*","CLMB"
"CLMB","221","Mg26","920.8113935","CLMB"
"CLMB","222","Mg26","1047.332894","CLMB"
"CLMB","223","Mg26","1038.782231","CLMB"
"CLMB","224","Mg26","1074.636015","CLMB"
"CLMB","225","Mg26","1456.89118","CLMB"
"CLMB","226","Mg26","926.5186262","CLMB"
"CLMB","227","Mg26","1330.337493","CLMB"
"CLMB","228","Mg26","1320.233805","CLMB"
"CLMB","229","Mg26","1033.358355","CLMB"
"CLMB","230","Mg26","*","CLMB"
"CLMB","231","Mg26","1199.637995","CLMB"
"CLMB","232","Mg26","1026.756322","CLMB"
"CLMB","233","Mg26","1376.07379","CLMB"
"CLMB","234","Mg26","1235.400442","CLMB"
"CLMB","235","Mg26","1069.71298535","CLMB"
"CLMB","236","Mg26","1144.624552","CLMB"
"CLMB","237","Mg26","1324.182926","CLMB"
"CLMB","238","Mg26","1379.165737","CLMB"
"CLMB","239","Mg26","1217.653746","CLMB"
"CLMB","240","Mg26","1463.56908","CLMB"
"CLMB","241","Mg26","1587.862339","CLMB"
"CLMB","242","Mg26","956.3604913","CLMB"
"CLMB","243","Mg26","1016.078957","CLMB"
"CLMB","244","Mg26","1069.712236","CLMB"
"CLMB","245","Mg26","1286.832723","CLMB"
"CLMB","246","Mg26","1323.17","CLMB"
"CLMB","247","Mg26","1261.738323","CLMB"
"CLMB","248","Mg26","1274.517416","CLMB"
"CLMB","249","Mg26","1667.61394","CLMB"
"CLMB","250","Mg26","1266.133786","CLMB"
"CLMB","251","Mg26","890.6630896","CLMB"
"CLMB","252","Mg26","1376.930587","CLMB"
"CLMB","253","Mg26","1037.707543","CLMB"
"CLMB","254","Mg26","1464.158504","CLMB"
"CLMB","255","Mg26","1071.230762","CLMB"
"CLMB","256","Mg26","1482.472614","CLMB"
"CLMB","257","Mg26","1185.595314","CLMB"
"CLMB","258","Mg26","887.8583394","CLMB"
"CLMB","259","Mg26","*","CLMB"
"CLMB","260","Mg26","969.4872651","CLMB"
"CLMB","261","Mg26","1271.146469","CLMB"
"CLMB","262","Mg26","1059.279568","CLMB"
"CLMB","263","Mg26","1119.693944","CLMB"
"CLMB","264","Mg26","1140.087922","CLMB"
"CLMB","265","Mg26","1066.297109","CLMB"
"CLMB","267","Mg26","1154.080578","CLMB"
"CLMB","268","Mg26","*","CLMB"
"CLMB","269","Mg26","1204.058394","CLMB"
"CLMB","270","Mg26","1185.515225","CLMB"
"CLMB","271","Mg26","912.3892356","CLMB"
"CLMB","272","Mg26","1330.139713","CLMB"
"CLMB","273","Mg26","*","CLMB"
"CLMB","274","Mg26","1062.793382","CLMB"
"CLMB","275","Mg26","1257.476962","CLMB"
"CLMB","276","Mg26","*","CLMB"
"CLMB","277","Mg26","996.4263378","CLMB"
"CLMB","278","Mg26","835.0921757","CLMB"
"CLMB","279","Mg26","1530.664872","CLMB"
"CLMB","281","Mg26","*","CLMB"
"CLMB","282","Mg26","1076.84110025","CLMB"
"CLMB","283","Mg26","*","CLMB"
"CLMB","284","Mg26","940.64749","CLMB"
"CLMB","285","Mg26","1308.389646","CLMB"
"CLMB","286","Mg26","1234.646743","CLMB"
"CLMB","287","Mg26","1084.814114","CLMB"
"CLMB","288","Mg26","1066.742435","CLMB"
"CLMB","289","Mg26","1322.649959","CLMB"
"CLMB","290","Mg26","1026.346263","CLMB"
"CLMB","292","Mg26","893.0833584","CLMB"
"CLMB","293","Mg26","1063.48522","CLMB"
"CLMB","294","Mg26","1018.363013","CLMB"
"CLMB","296","Mg26","867.3085176","CLMB"
"CLMB","297","Mg26","1812.82121","CLMB"
"CLMB","298","Mg26","1032.900475","CLMB"
"CLMB","299","Mg26","1181.15056","CLMB"
"CLMB","300","Mg26","*","CLMB"
"CLMB","301","Mg26","1200.018398","CLMB"
"CLMB","302","Mg26","907.649524","CLMB"
"CLMB","303","Mg26","1085.032162","CLMB"
"CLMB","304","Mg26","1242.033208","CLMB"
"CLMB","305","Mg26","1368.764946","CLMB"
"CLMB","306","Mg26","*","CLMB"
"CLMB","307","Mg26","1092.236301","CLMB"
"CLMB","308","Mg26","935.1699781","CLMB"
"CLMB","310","Mg26","1005.090104","CLMB"
"CLMB","311","Mg26","795.4044664","CLMB"
"CLMB","312","Mg26","1450.93022","CLMB"
"CLMB","313","Mg26","989.427105","CLMB"
"CLMB","314","Mg26","1978.145696","CLMB"
"CLMB","315","Mg26","1162.549875","CLMB"
"CLMB","317","Mg26","1338.598265","CLMB"
"CLMB","318","Mg26","1210.382296","CLMB"
"CLMB","319","Mg26","1237.991578","CLMB"
"CLMB","320","Mg26","1267.581096","CLMB"
"CLMB","322","Mg26","1199.301227","CLMB"
"CLMB","323","Mg26","1427.552529","CLMB"
"CLMB","324","Mg26","1096.684344","CLMB"
"CLMB","325","Mg26","1009.084399","CLMB"
"CLMB","326","Mg26","814.3024444","CLMB"
"CLMB","328","Mg26","1086.346323","CLMB"
"CLMB","330","Mg26","1128.990796","CLMB"
"CLMB","332","Mg26","1256.383115","CLMB"
"CLMB","333","Mg26","1080.513801","CLMB"
"CLMB","334","Mg26","1194.097845","CLMB"
"CLMB","335","Mg26","*","CLMB"
"CLMB","336","Mg26","943.9565295","CLMB"
"CLMB","337","Mg26","1047.616848","CLMB"
"CLMB","338","Mg26","989.6656075","CLMB"
"CLMB","339","Mg26","955.345557","CLMB"
"CLMB","340","Mg26","*","CLMB"
"CLMB","341","Mg26","1188.254016","CLMB"
"CLMB","342","Mg26","856.363513","CLMB"
"CLMB","343","Mg26","958.2824826","CLMB"
"CLMB","345","Mg26","1587.161212","CLMB"
"CLMB","346","Mg26","*","CLMB"
"CLMB","347","Mg26","665.6280976","CLMB"
"CLMB","349","Mg26","*","CLMB"
"CLMB","350","Mg26","1171.861103","CLMB"
"CLMB","352","Mg26","1109.076768","CLMB"
"CLMB","353","Mg26","1227.38622","CLMB"
"CLMB","354","Mg26","1135.275075","CLMB"
"CLMB","355","Mg26","1341.612365","CLMB"
"CLMB","356","Mg26","1244.105806","CLMB"
"CLMB","358","Mg26","1214.671492","CLMB"
"CLMB","359","Mg26","1306.066427","CLMB"
"CLMB","360","Mg26","1013.229685","CLMB"
"CLMB","361","Mg26","1543.785076","CLMB"
"CLMB","363","Mg26","*","CLMB"
"CLMB","364","Mg26","1106.351264","CLMB"
"CLMB","365","Mg26","1266.124703","CLMB"
"CLMB","366","Mg26","865.1110737","CLMB"
"CLMB","367","Mg26","1107.4356","CLMB"
"CLMB","368","Mg26","2045.657139","CLMB"
"CLMB","369","Mg26","*","CLMB"
"CLMB","370","Mg26","1259.422677","CLMB"
"CLMB","371","Mg26","1351.16749","CLMB"
"CLMB","372","Mg26","*","CLMB"
"CLMB","373","Mg26","1131.550265","CLMB"
"CLMB","374","Mg26","729.4118968","CLMB"
"CLMB","375","Mg26","1137.438267","CLMB"
"CLMB","377","Mg26","1260.674652","CLMB"
"CLMB","378","Mg26","1007.786545","CLMB"
"CLMB","379","Mg26","837.465937","CLMB"
"CLMB","380","Mg26","934.4598367","CLMB"
"CLMB","381","Mg26","1083.949027","CLMB"
"CLMB","382","Mg26","1419.178859","CLMB"
"CLMB","383","Mg26","1132.498808","CLMB"
"CLMB","384","Mg26","*","CLMB"
"CLMB","386","Mg26","1151.369396","CLMB"
"CLMB","388","Mg26","925.0648708","CLMB"
"CLMB","389","Mg26","1266.764265","CLMB"
"CLMB","390","Mg26","1244.534075","CLMB"
"CLMB","391","Mg26","*","CLMB"
"CLMB","392","Mg26","1109.799007","CLMB"
"CLMB","393","Mg26","1219.548435","CLMB"
"CLMB","394","Mg26","*","CLMB"
"CLMB","395","Mg26","1045.411564","CLMB"
"CLMB","396","Mg26","1328.604959","CLMB"
"CLMB","397","Mg26","997.6983159","CLMB"
"CLMB","398","Mg26","1092.456559","CLMB"
"CLMB","399","Mg26","1013.867227","CLMB"
"CLMB","400","Mg26","898.5507317","CLMB"
"CLMB","402","Mg26","977.1611217","CLMB"
"CLMB","403","Mg26","1542.194088","CLMB"
"CLMB","404","Mg26","1004.938207","CLMB"
"CLMB","405","Mg26","921.7877778","CLMB"
"CLMB","406","Mg26","1115.104041","CLMB"
"CLMB","407","Mg26","995.0062905","CLMB"
"CLMB","408","Mg26","1336.419726","CLMB"
"CLMB","409","Mg26","1589.123716","CLMB"
"CLMB","410","Mg26","1456.060198","CLMB"
"CLMB","411","Mg26","1316.635039","CLMB"
"CLMB","412","Mg26","701.8257225","CLMB"
"CLMB","413","Mg26","948.5888529","CLMB"
"CLMB","414","Mg26","960.5890415","CLMB"
"CLMB","415","Mg26","1081.517135","CLMB"
"CLMB","416","Mg26","*","CLMB"
"CLMB","417","Mg26","1164.979638","CLMB"
"CLMB","418","Mg26","1121.042198","CLMB"
"CLMB","419","Mg26","1233.480454","CLMB"
"CLMB","420","Mg26","980.6478575","CLMB"
"CLMB","421","Mg26","1047.08684","CLMB"
"CLMB","422","Mg26","865.2606834","CLMB"
"CLMB","423","Mg26","817.3381113","CLMB"
"CLMB","424","Mg26","934.1535205","CLMB"
"CLMB","425","Mg26","1332.831418","CLMB"
"CLMB","426","Mg26","837.0954216","CLMB"
"CLMB","427","Mg26","*","CLMB"
"CLMB","428","Mg26","1181.6063","CLMB"
"CLMB","429","Mg26","1967.844426","CLMB"
"CLMB","431","Mg26","1405.927233","CLMB"
"CLMB","432","Mg26","1399.721505","CLMB"
"CLMB","433","Mg26","1480.189907","CLMB"
"CLMB","435","Mg26","1085.579642","CLMB"
"CLMB","436","Mg26","1071.033265","CLMB"
"CLMB","437","Mg26","1232.373401","CLMB"
"CLMB","438","Mg26","1220.993558","CLMB"
"CLMB","439","Mg26","1221.160103","CLMB"
"CLMB","440","Mg26","*","CLMB"
"CLMB","442","Mg26","1304.924462","CLMB"
"CLMB","443","Mg26","1416.869781","CLMB"
"CLMB","444","Mg26","799.3860981","CLMB"
"CLMB","445","Mg26","1464.194605","CLMB"
"CLMB","446","Mg26","1696.129607","CLMB"
"CLMB","447","Mg26","1299.219497","CLMB"
"CLMB","448","Mg26","772.8541379","CLMB"
"CLMB","449","Mg26","1203.48975","CLMB"
"CLMB","450","Mg26","1141.339621","CLMB"
"CLMB","451","Mg26","1123.846705","CLMB"
"CLMB","452","Mg26","1204.337027","CLMB"
"CLMB","453","Mg26","1100.598692","CLMB"
"CLMB","454","Mg26","1083.751727","CLMB"
"CLMB","455","Mg26","767.6677499","CLMB"
"CLMB","456","Mg26","976.7199034","CLMB"
"CLMB","458","Mg26","1340.607621","CLMB"
"CLMB","459","Mg26","1048.064417","CLMB"
"CLMB","460","Mg26","1083.744957","CLMB"
"CLMB","461","Mg26","998.1215578","CLMB"
"CLMB","462","Mg26","1084.790935","CLMB"
"CLMB","463","Mg26","1351.330123","CLMB"
"CLMB","464","Mg26","903.1981978","CLMB"
"CLMB","465","Mg26","970.9410463","CLMB"
"CLMB","466","Mg26","1050.782247","CLMB"
"CLMB","467","Mg26","*","CLMB"
"CLMB","468","Mg26","881.3225317","CLMB"
"CLMB","469","Mg26","*","CLMB"
"CLMB","470","Mg26","985.5290833","CLMB"
"CLMB","471","Mg26","1120.125106","CLMB"
"CLMB","472","Mg26","996.1758736","CLMB"
"CLMB","473","Mg26","1188.032505","CLMB"
"CLMB","474","Mg26","1566.646567","CLMB"
"CLMB","475","Mg26","1085.638008","CLMB"
"CLMB","476","Mg26","1256.464561","CLMB"
"CLMB","477","Mg26","1661.181781","CLMB"
"CLMB","479","Mg26","994.3024682","CLMB"
"CLMB","480","Mg26","977.2280318","CLMB"
"CLMB","482","Mg26","897.1141529","CLMB"
"CLMB","483","Mg26","943.1592418","CLMB"
"CLMB","484","Mg26","1027.18834","CLMB"
"CLMB","485","Mg26","1098.032883","CLMB"
"CLMB","486","Mg26","1135.420048","CLMB"
"CLMB","487","Mg26","1299.012844","CLMB"
"CLMB","488","Mg26","1448.36314","CLMB"
"CLMB","489","Mg26","1157.162476","CLMB"
"CLMB","491","Mg26","1147.851984","CLMB"
"CLMB","492","Mg26","780.0318639","CLMB"
"CLMB","493","Mg26","*","CLMB"
"CLMB","494","Mg26","991.4743799","CLMB"
"CLMB","495","Mg26","*","CLMB"
"CLMB","496","Mg26","1205.516903","CLMB"
"CLMB","497","Mg26","1009.05405","CLMB"
"CLMB","498","Mg26","1090.205126","CLMB"
"CLMB","499","Mg26","1028.872399","CLMB"
"CLMB","500","Mg26","1363.353953","CLMB"
"CLMB","501","Mg26","1348.482458","CLMB"
"CLMB","502","Mg26","1089.207601","CLMB"
"CLMB","503","Mg26","1030.486066","CLMB"
"CLMB","504","Mg26","*","CLMB"
"CLMB","505","Mg26","1318.891769","CLMB"
"CLMB","506","Mg26","1175.945706","CLMB"
"CLMB","507","Mg26","1246.233195","CLMB"
"CLMB","508","Mg26","1745.417664","CLMB"
"CLMB","511","Mg26","1077.874063","CLMB"
"CLMB","512","Mg26","944.6856139","CLMB"
"CLMB","513","Mg26","*","CLMB"
"CLMB","514","Mg26","1147.901861","CLMB"
"CLMB","515","Mg26","927.0473202","CLMB"
"CLMB","516","Mg26","1298.227176","CLMB"
"CLMB","518","Mg26","*","CLMB"
"CLMB","519","Mg26","1027.862615","CLMB"
"CLMB","520","Mg26","*","CLMB"
"CLMB","521","Mg26","1007.185608","CLMB"
"CLMB","522","Mg26","1280.710128","CLMB"
"CLMB","523","Mg26","1440.091802","CLMB"
"CLMB","524","Mg26","1173.819158","CLMB"
"CLMB","525","Mg26","1183.110576","CLMB"
"CLMB","526","Mg26","934.5685867","CLMB"
"CLMB","527","Mg26","1000.3005","CLMB"
"CLMB","529","Mg26","1062.378647","CLMB"
"CLMB","530","Mg26","1309.470713","CLMB"
"CLMB","531","Mg26","1167.243529","CLMB"
"CLMB","532","Mg26","1533.170343","CLMB"
"CLMB","533","Mg26","1311.458412","CLMB"
"CLMB","534","Mg26","931.2848452","CLMB"
"CLMB","535","Mg26","954.5106377","CLMB"
"CLMB","536","Mg26","994.2055907","CLMB"
"CLMB","537","Mg26","954.7489763","CLMB"
"CLMB","539","Mg26","1356.474392","CLMB"
"CLMB","540","Mg26","1033.256935","CLMB"
"CLMB","541","Mg26","1124.188947","CLMB"
"CLMB","542","Mg26","1562.077785","CLMB"
"CLMB","544","Mg26","915.5635719","CLMB"
"CLMB","545","Mg26","1186.284189","CLMB"
"CLMB","546","Mg26","1205.971387","CLMB"
"CLMB","547","Mg26","1222.500768","CLMB"
"CLMB","548","Mg26","1565.979328","CLMB"
"CLMB","549","Mg26","799.8080849","CLMB"
"CLMB","551","Mg26","*","CLMB"
"CLMB","552","Mg26","689.2834812","CLMB"
"CLMB","553","Mg26","922.3050934","CLMB"
"CLMB","555","Mg26","1031.15292","CLMB"
"CLMB","556","Mg26","*","CLMB"
"CLMB","557","Mg26","*","CLMB"
"CLMB","558","Mg26","1228.538206","CLMB"
"CLMB","559","Mg26","1651.048977","CLMB"
"CLMB","560","Mg26","*","CLMB"
"CLMB","562","Mg26","847.1776409","CLMB"
"CLMB","563","Mg26","1361.893135","CLMB"
"CLMB","564","Mg26","911.9735924","CLMB"
"CLMB","565","Mg26","1134.22195","CLMB"
"CLMB","566","Mg26","789.1987122","CLMB"
"CLMB","567","Mg26","1033.245416","CLMB"
"CLMB","569","Mg26","1035.989849","CLMB"
"CLMB","570","Mg26","1500.097191","CLMB"
"CLMB","571","Mg26","1343.477224","CLMB"
"CLMB","572","Mg26","982.9556839","CLMB"
"CLMB","573","Mg26","816.1204292","CLMB"
"CLMB","574","Mg26","1272.311535","CLMB"
"CLMB","576","Mg26","956.4323527","CLMB"
"CLMB","577","Mg26","*","CLMB"
"CLMB","578","Mg26","1164.631554","CLMB"
"CLMB","579","Mg26","1040.889066","CLMB"
"CLMB","580","Mg26","*","CLMB"
"CLMB","581","Mg26","1213.761199","CLMB"
"CLMB","583","Mg26","1324.197877","CLMB"
"CLMB","584","Mg26","1010.013526","CLMB"
"CLMB","585","Mg26","887.1351352","CLMB"
"CLMB","586","Mg26","1674.088727","CLMB"
"CLMB","588","Mg26","1213.135326","CLMB"
"CLMB","589","Mg26","1389.203","CLMB"
"CLMB","592","Mg26","977.7296878","CLMB"
"CLMB","593","Mg26","877.9667767","CLMB"
"CLMB","594","Mg26","970.6591856","CLMB"
"CLMB","595","Mg26","865.1238371","CLMB"
"CLMB","596","Mg26","1045.01544","CLMB"
"CLMB","597","Mg26","*","CLMB"
"CLMB","598","Mg26","*","CLMB"
"CLMB","599","Mg26","840.3018771","CLMB"
"CLMB","600","Mg26","1194.249939","CLMB"
"CLMB","601","Mg26","*","CLMB"
"CLMB","602","Mg26","968.0476508","CLMB"
"CLMB","603","Mg26","*","CLMB"
"CLMB","604","Mg26","1117.8724","CLMB"
"CLMB","605","Mg26","802.1537138","CLMB"
"CLMB","606","Mg26","1519.622149","CLMB"
"CLMB","608","Mg26","992.1285724","CLMB"
"CLMB","609","Mg26","1166.090811","CLMB"
"CLMB","610","Mg26","1680.763909","CLMB"
"CLMB","611","Mg26","1145.428048","CLMB"
"CLMB","612","Mg26","1341.295387","CLMB"
"CLMB","613","Mg26","1415.975857","CLMB"
"CLMB","614","Mg26","1007.059045","CLMB"
"CLMB","618","Mg26","1012.010538","CLMB"
"CLMB","619","Mg26","978.1055208","CLMB"
"CLMB","620","Mg26","1006.151722","CLMB"
"CLMB","621","Mg26","893.2063109","CLMB"
"CLMB","622","Mg26","845.9211776","CLMB"
"CLMB","623","Mg26","1357.866501","CLMB"
"CLMB","624","Mg26","1277.520719","CLMB"
"CLMB","625","Mg26","990.5677814","CLMB"
"CLMB","627","Mg26","2169.068144","CLMB"
"CLMB","628","Mg26","*","CLMB"
"CLMB","629","Mg26","1120.170897","CLMB"
"CLMB","630","Mg26","*","CLMB"
"CLMB","632","Mg26","1068.372341","CLMB"
"CLMB","633","Mg26","1457.284115","CLMB"
"CLMB","634","Mg26","1038.541626","CLMB"
"CLMB","635","Mg26","1182.538877","CLMB"
"CLMB","636","Mg26","1281.576044","CLMB"
"CLMB","637","Mg26","1019.882062","CLMB"
"CLMB","638","Mg26","1302.546971","CLMB"
"CLMB","639","Mg26","910.9286589","CLMB"
"CLMB","640","Mg26","1354.443404","CLMB"
