"SITE","LINE","traits","Rb85","SITE2"
"CLMB","229","Rb85","3.055615174","CLMB"
"CLMB","230","Rb85","*","CLMB"
"CLMB","231","Rb85","2.639730927","CLMB"
"CLMB","232","Rb85","2.288929443","CLMB"
"CLMB","233","Rb85","2.099942439","CLMB"
"CLMB","234","Rb85","1.2211791","CLMB"
"CLMB","235","Rb85","2.2127602205","CLMB"
"CLMB","236","Rb85","2.021333873","CLMB"
"CLMB","237","Rb85","2.394315113","CLMB"
"CLMB","238","Rb85","2.565258453","CLMB"
"CLMB","239","Rb85","2.052012117","CLMB"
"CLMB","240","Rb85","3.249010949","CLMB"
"CLMB","241","Rb85","3.28660653","CLMB"
"CLMB","242","Rb85","1.404735964","CLMB"
"CLMB","243","Rb85","1.900237924","CLMB"
"CLMB","244","Rb85","2.393919489","CLMB"
"CLMB","245","Rb85","2.406414569","CLMB"
"CLMB","246","Rb85","1.29638076","CLMB"
"CLMB","247","Rb85","2.518887255","CLMB"
"CLMB","248","Rb85","1.843982706","CLMB"
"CLMB","249","Rb85","1.865404281","CLMB"
"CLMB","250","Rb85","3.211004863","CLMB"
"CLMB","251","Rb85","1.757180035","CLMB"
"CLMB","252","Rb85","2.210725924","CLMB"
"CLMB","253","Rb85","2.458046528","CLMB"
"CLMB","254","Rb85","1.906707223","CLMB"
"CLMB","255","Rb85","1.279919941","CLMB"
"CLMB","256","Rb85","2.12045656","CLMB"
"CLMB","257","Rb85","3.165891847","CLMB"
"CLMB","258","Rb85","2.981277368","CLMB"
"CLMB","259","Rb85","*","CLMB"
"CLMB","260","Rb85","3.071202951","CLMB"
"CLMB","261","Rb85","2.759067458","CLMB"
"CLMB","262","Rb85","3.530228737","CLMB"
"CLMB","263","Rb85","2.567471819","CLMB"
"CLMB","264","Rb85","2.006182396","CLMB"
"CLMB","265","Rb85","1.929566694","CLMB"
"CLMB","267","Rb85","3.969451525","CLMB"
"CLMB","268","Rb85","*","CLMB"
"CLMB","269","Rb85","1.027365981","CLMB"
"CLMB","270","Rb85","3.217512658","CLMB"
"CLMB","271","Rb85","2.128519766","CLMB"
"CLMB","272","Rb85","2.860443303","CLMB"
"CLMB","273","Rb85","*","CLMB"
"CLMB","274","Rb85","1.76701001","CLMB"
"CLMB","275","Rb85","1.718467384","CLMB"
"CLMB","276","Rb85","*","CLMB"
"CLMB","277","Rb85","2.204001047","CLMB"
"CLMB","278","Rb85","1.832014603","CLMB"
"CLMB","279","Rb85","2.227104495","CLMB"
"CLMB","281","Rb85","*","CLMB"
"CLMB","282","Rb85","2.057262122","CLMB"
"CLMB","283","Rb85","*","CLMB"
"CLMB","284","Rb85","2.189082257","CLMB"
"CLMB","285","Rb85","4.118682787","CLMB"
"CLMB","286","Rb85","2.407279382","CLMB"
"CLMB","287","Rb85","2.033787248","CLMB"
"CLMB","288","Rb85","1.662478228","CLMB"
"CLMB","289","Rb85","2.71087602","CLMB"
"CLMB","290","Rb85","2.323262858","CLMB"
"CLMB","292","Rb85","3.284844113","CLMB"
"CLMB","293","Rb85","2.753599384","CLMB"
"CLMB","294","Rb85","1.751887406","CLMB"
"CLMB","296","Rb85","1.515314894","CLMB"
"CLMB","297","Rb85","3.266998632","CLMB"
"CLMB","298","Rb85","3.762729289","CLMB"
"CLMB","299","Rb85","1.860516755","CLMB"
"CLMB","300","Rb85","*","CLMB"
"CLMB","301","Rb85","3.54160735","CLMB"
"CLMB","302","Rb85","1.524241388","CLMB"
"CLMB","303","Rb85","3.182142804","CLMB"
"CLMB","304","Rb85","1.808480907","CLMB"
"CLMB","305","Rb85","4.114738634","CLMB"
"CLMB","306","Rb85","*","CLMB"
"CLMB","307","Rb85","2.681681153","CLMB"
"CLMB","308","Rb85","2.28561891","CLMB"
"CLMB","310","Rb85","1.616466178","CLMB"
"CLMB","311","Rb85","2.116969446","CLMB"
"CLMB","312","Rb85","3.107284113","CLMB"
"CLMB","313","Rb85","1.704902779","CLMB"
"CLMB","314","Rb85","3.638581344","CLMB"
"CLMB","315","Rb85","1.548167243","CLMB"
"CLMB","317","Rb85","2.782534956","CLMB"
"CLMB","318","Rb85","1.747930318","CLMB"
"CLMB","319","Rb85","2.866038068","CLMB"
"CLMB","320","Rb85","1.73451559","CLMB"
"CLMB","322","Rb85","2.907548621","CLMB"
"CLMB","323","Rb85","2.272492761","CLMB"
"CLMB","324","Rb85","2.862675149","CLMB"
"CLMB","325","Rb85","2.201245212","CLMB"
"CLMB","326","Rb85","1.826613359","CLMB"
"CLMB","328","Rb85","2.292359437","CLMB"
"CLMB","330","Rb85","3.839979703","CLMB"
"CLMB","332","Rb85","3.462044665","CLMB"
"CLMB","333","Rb85","1.506217299","CLMB"
"CLMB","334","Rb85","3.723386354","CLMB"
"CLMB","335","Rb85","*","CLMB"
"CLMB","336","Rb85","3.36256194","CLMB"
"CLMB","337","Rb85","2.836698436","CLMB"
"CLMB","338","Rb85","1.759495733","CLMB"
"CLMB","339","Rb85","1.909406688","CLMB"
"CLMB","340","Rb85","*","CLMB"
"CLMB","341","Rb85","2.036454701","CLMB"
"CLMB","342","Rb85","1.7424431","CLMB"
"CLMB","343","Rb85","2.772266226","CLMB"
"CLMB","345","Rb85","2.700526404","CLMB"
"CLMB","346","Rb85","*","CLMB"
"CLMB","347","Rb85","2.077612114","CLMB"
"CLMB","349","Rb85","*","CLMB"
"CLMB","350","Rb85","4.091276387","CLMB"
"CLMB","352","Rb85","2.414293737","CLMB"
"CLMB","353","Rb85","3.171016662","CLMB"
"CLMB","354","Rb85","2.906903224","CLMB"
"CLMB","355","Rb85","2.469826708","CLMB"
"CLMB","356","Rb85","2.681071923","CLMB"
"CLMB","358","Rb85","2.618941721","CLMB"
"CLMB","359","Rb85","2.502743037","CLMB"
"CLMB","360","Rb85","1.927285926","CLMB"
"CLMB","361","Rb85","1.95568032","CLMB"
"CLMB","363","Rb85","*","CLMB"
"CLMB","364","Rb85","2.959653019","CLMB"
"CLMB","365","Rb85","2.142421026","CLMB"
"CLMB","366","Rb85","1.889271352","CLMB"
"CLMB","367","Rb85","3.390875622","CLMB"
"CLMB","368","Rb85","2.545799768","CLMB"
"CLMB","369","Rb85","*","CLMB"
"CLMB","370","Rb85","2.52502856","CLMB"
"CLMB","371","Rb85","3.285556127","CLMB"
"CLMB","372","Rb85","*","CLMB"
"CLMB","373","Rb85","1.797579747","CLMB"
"CLMB","374","Rb85","1.976980591","CLMB"
"CLMB","375","Rb85","2.115698471","CLMB"
"CLMB","377","Rb85","2.111166644","CLMB"
"CLMB","378","Rb85","2.190384048","CLMB"
"CLMB","379","Rb85","1.480879269","CLMB"
"CLMB","380","Rb85","3.871999193","CLMB"
"CLMB","381","Rb85","2.045501064","CLMB"
"CLMB","382","Rb85","3.013803393","CLMB"
"CLMB","383","Rb85","1.65899159","CLMB"
"CLMB","384","Rb85","*","CLMB"
"CLMB","386","Rb85","1.77045434","CLMB"
"CLMB","388","Rb85","2.149132955","CLMB"
"CLMB","389","Rb85","3.043789856","CLMB"
"CLMB","390","Rb85","2.882464627","CLMB"
"CLMB","391","Rb85","*","CLMB"
"CLMB","392","Rb85","3.456161102","CLMB"
"CLMB","393","Rb85","4.335690591","CLMB"
"CLMB","394","Rb85","*","CLMB"
"CLMB","395","Rb85","2.743790807","CLMB"
"CLMB","396","Rb85","2.211323657","CLMB"
"CLMB","397","Rb85","2.289502258","CLMB"
"CLMB","398","Rb85","1.770741059","CLMB"
"CLMB","399","Rb85","1.86890105","CLMB"
"CLMB","400","Rb85","1.995327446","CLMB"
"CLMB","402","Rb85","*","CLMB"
"CLMB","403","Rb85","4.678390042","CLMB"
"CLMB","404","Rb85","1.600910506","CLMB"
"CLMB","405","Rb85","2.218232429","CLMB"
"CLMB","406","Rb85","3.152971023","CLMB"
"CLMB","407","Rb85","1.597939799","CLMB"
"CLMB","408","Rb85","2.726497416","CLMB"
"CLMB","409","Rb85","2.149867927","CLMB"
"CLMB","410","Rb85","1.916305966","CLMB"
"CLMB","411","Rb85","3.275167395","CLMB"
"CLMB","412","Rb85","2.123988256","CLMB"
"CLMB","413","Rb85","1.298499575","CLMB"
"CLMB","414","Rb85","2.575032784","CLMB"
"CLMB","415","Rb85","2.943367866","CLMB"
"CLMB","416","Rb85","*","CLMB"
"CLMB","417","Rb85","2.726114009","CLMB"
"CLMB","418","Rb85","1.975183286","CLMB"
"CLMB","419","Rb85","2.364191633","CLMB"
"CLMB","420","Rb85","2.540173139","CLMB"
"CLMB","421","Rb85","2.419230358","CLMB"
"CLMB","422","Rb85","1.773099325","CLMB"
"CLMB","423","Rb85","2.992875964","CLMB"
"CLMB","424","Rb85","2.056381853","CLMB"
"CLMB","425","Rb85","3.457507052","CLMB"
"CLMB","426","Rb85","2.775224422","CLMB"
"CLMB","427","Rb85","*","CLMB"
"CLMB","428","Rb85","2.546313922","CLMB"
"CLMB","429","Rb85","1.694445753","CLMB"
"CLMB","431","Rb85","2.454376299","CLMB"
"CLMB","432","Rb85","3.326699624","CLMB"
"CLMB","433","Rb85","1.661760263","CLMB"
"CLMB","435","Rb85","3.405867164","CLMB"
"CLMB","436","Rb85","1.588879539","CLMB"
"CLMB","437","Rb85","1.617762644","CLMB"
"CLMB","438","Rb85","1.035359114","CLMB"
"CLMB","439","Rb85","3.595572791","CLMB"
"CLMB","440","Rb85","*","CLMB"
"CLMB","442","Rb85","2.287730057","CLMB"
"CLMB","443","Rb85","2.085548049","CLMB"
"CLMB","444","Rb85","2.931862094","CLMB"
"CLMB","445","Rb85","1.874422871","CLMB"
"CLMB","446","Rb85","2.30475927","CLMB"
"CLMB","447","Rb85","3.259956002","CLMB"
"CLMB","448","Rb85","2.36743621","CLMB"
"CLMB","449","Rb85","2.024508669","CLMB"
"CLMB","450","Rb85","2.771600532","CLMB"
"CLMB","451","Rb85","1.840228452","CLMB"
"CLMB","452","Rb85","3.306658974","CLMB"
"CLMB","453","Rb85","2.420609658","CLMB"
"CLMB","454","Rb85","2.931882066","CLMB"
"CLMB","455","Rb85","2.387020967","CLMB"
"CLMB","456","Rb85","2.426670284","CLMB"
"CLMB","458","Rb85","2.722086846","CLMB"
"CLMB","459","Rb85","2.99006029","CLMB"
"CLMB","460","Rb85","2.154370163","CLMB"
"CLMB","461","Rb85","1.368183038","CLMB"
"CLMB","462","Rb85","1.944346017","CLMB"
"CLMB","463","Rb85","2.651660645","CLMB"
"CLMB","464","Rb85","2.522761309","CLMB"
"CLMB","465","Rb85","1.603236291","CLMB"
"CLMB","466","Rb85","2.150320676","CLMB"
"CLMB","467","Rb85","*","CLMB"
"CLMB","468","Rb85","2.755627695","CLMB"
"CLMB","469","Rb85","*","CLMB"
"CLMB","470","Rb85","2.887565197","CLMB"
"CLMB","471","Rb85","2.238607703","CLMB"
"CLMB","472","Rb85","1.527425744","CLMB"
"CLMB","473","Rb85","3.130698946","CLMB"
"CLMB","474","Rb85","3.533323187","CLMB"
"CLMB","475","Rb85","3.53126543","CLMB"
"CLMB","476","Rb85","2.024780775","CLMB"
"CLMB","477","Rb85","2.581552208","CLMB"
"CLMB","479","Rb85","2.691416351","CLMB"
"CLMB","480","Rb85","1.965129407","CLMB"
"CLMB","482","Rb85","1.441875805","CLMB"
"CLMB","483","Rb85","2.976472031","CLMB"
"CLMB","484","Rb85","1.434361503","CLMB"
"CLMB","485","Rb85","3.294534613","CLMB"
"CLMB","486","Rb85","2.747135674","CLMB"
"CLMB","487","Rb85","3.449120756","CLMB"
"CLMB","488","Rb85","2.39279516","CLMB"
"CLMB","489","Rb85","2.394067654","CLMB"
"CLMB","491","Rb85","2.632751789","CLMB"
"CLMB","492","Rb85","2.645926321","CLMB"
"CLMB","493","Rb85","*","CLMB"
"CLMB","494","Rb85","2.405423186","CLMB"
"CLMB","495","Rb85","*","CLMB"
"CLMB","496","Rb85","2.816521035","CLMB"
"CLMB","497","Rb85","1.909438014","CLMB"
"CLMB","498","Rb85","3.106100427","CLMB"
"CLMB","499","Rb85","2.911409673","CLMB"
"CLMB","500","Rb85","1.922419497","CLMB"
"CLMB","501","Rb85","2.898541262","CLMB"
"CLMB","502","Rb85","2.734389134","CLMB"
"CLMB","503","Rb85","1.545824157","CLMB"
"CLMB","504","Rb85","*","CLMB"
"CLMB","505","Rb85","1.508434808","CLMB"
"CLMB","506","Rb85","1.895474326","CLMB"
"CLMB","507","Rb85","2.958687848","CLMB"
"CLMB","508","Rb85","3.445347739","CLMB"
"CLMB","511","Rb85","1.793039964","CLMB"
"CLMB","512","Rb85","1.659106428","CLMB"
"CLMB","513","Rb85","*","CLMB"
"CLMB","514","Rb85","1.335871391","CLMB"
"CLMB","515","Rb85","1.994186946","CLMB"
"CLMB","516","Rb85","1.923370888","CLMB"
"CLMB","518","Rb85","*","CLMB"
"CLMB","519","Rb85","3.771149857","CLMB"
"CLMB","520","Rb85","*","CLMB"
"CLMB","521","Rb85","1.839887141","CLMB"
"CLMB","522","Rb85","2.855492897","CLMB"
"CLMB","523","Rb85","2.070485393","CLMB"
"CLMB","524","Rb85","1.216410574","CLMB"
"CLMB","525","Rb85","3.188003573","CLMB"
"CLMB","526","Rb85","1.373849226","CLMB"
"CLMB","527","Rb85","2.317053223","CLMB"
"CLMB","529","Rb85","3.607138141","CLMB"
"CLMB","530","Rb85","2.361321364","CLMB"
"CLMB","531","Rb85","3.045122635","CLMB"
"CLMB","532","Rb85","2.777217342","CLMB"
"CLMB","533","Rb85","1.341334595","CLMB"
"CLMB","534","Rb85","2.444212483","CLMB"
"CLMB","535","Rb85","2.152607538","CLMB"
"CLMB","536","Rb85","2.02029708","CLMB"
"CLMB","537","Rb85","2.829520207","CLMB"
"CLMB","539","Rb85","2.403738298","CLMB"
"CLMB","540","Rb85","3.01697268","CLMB"
"CLMB","541","Rb85","2.623644113","CLMB"
"CLMB","542","Rb85","2.592400072","CLMB"
"CLMB","544","Rb85","3.560261577","CLMB"
"CLMB","545","Rb85","2.720468534","CLMB"
"CLMB","546","Rb85","2.227291329","CLMB"
"CLMB","547","Rb85","1.902938189","CLMB"
"CLMB","548","Rb85","3.183178774","CLMB"
"CLMB","549","Rb85","2.535022376","CLMB"
"CLMB","551","Rb85","*","CLMB"
"CLMB","552","Rb85","2.23908234","CLMB"
"CLMB","553","Rb85","1.911536881","CLMB"
"CLMB","555","Rb85","3.347939701","CLMB"
"CLMB","556","Rb85","*","CLMB"
"CLMB","557","Rb85","*","CLMB"
"CLMB","558","Rb85","1.804861391","CLMB"
"CLMB","559","Rb85","2.514141003","CLMB"
"CLMB","560","Rb85","*","CLMB"
"CLMB","562","Rb85","1.715126434","CLMB"
"CLMB","563","Rb85","2.819390828","CLMB"
"CLMB","564","Rb85","2.239373364","CLMB"
"CLMB","565","Rb85","1.662914191","CLMB"
"CLMB","566","Rb85","1.763914104","CLMB"
"CLMB","567","Rb85","1.834085079","CLMB"
"CLMB","569","Rb85","2.448829537","CLMB"
"CLMB","570","Rb85","2.094289995","CLMB"
"CLMB","571","Rb85","2.197882262","CLMB"
"CLMB","572","Rb85","1.770920491","CLMB"
"CLMB","573","Rb85","2.983915864","CLMB"
"CLMB","574","Rb85","2.360783992","CLMB"
"CLMB","576","Rb85","3.281443742","CLMB"
"CLMB","577","Rb85","*","CLMB"
"CLMB","578","Rb85","3.240883076","CLMB"
"CLMB","579","Rb85","2.134160517","CLMB"
"CLMB","580","Rb85","*","CLMB"
"CLMB","581","Rb85","1.944881594","CLMB"
"CLMB","583","Rb85","1.872407566","CLMB"
"CLMB","584","Rb85","2.791468367","CLMB"
"CLMB","585","Rb85","1.449855436","CLMB"
"CLMB","586","Rb85","2.951407932","CLMB"
"CLMB","588","Rb85","2.087194831","CLMB"
"CLMB","589","Rb85","2.285231899","CLMB"
"CLMB","592","Rb85","2.998602919","CLMB"
"CLMB","593","Rb85","2.628513053","CLMB"
"CLMB","594","Rb85","2.358542846","CLMB"
"CLMB","595","Rb85","2.691832664","CLMB"
"CLMB","596","Rb85","2.448134371","CLMB"
"CLMB","597","Rb85","*","CLMB"
"CLMB","598","Rb85","*","CLMB"
"CLMB","599","Rb85","1.178386741","CLMB"
"CLMB","600","Rb85","3.822752198","CLMB"
"CLMB","601","Rb85","*","CLMB"
"CLMB","602","Rb85","3.480816787","CLMB"
"CLMB","603","Rb85","*","CLMB"
"CLMB","604","Rb85","3.297445755","CLMB"
"CLMB","605","Rb85","2.455732772","CLMB"
"CLMB","606","Rb85","2.82443149","CLMB"
"CLMB","608","Rb85","2.285837432","CLMB"
"CLMB","609","Rb85","2.096341508","CLMB"
"CLMB","610","Rb85","1.540145837","CLMB"
"CLMB","611","Rb85","1.82514638","CLMB"
"CLMB","612","Rb85","2.804553195","CLMB"
"CLMB","613","Rb85","4.084902182","CLMB"
"CLMB","614","Rb85","3.0177541","CLMB"
"CLMB","618","Rb85","1.920176288","CLMB"
"CLMB","619","Rb85","1.914331632","CLMB"
"CLMB","620","Rb85","2.926266736","CLMB"
"CLMB","621","Rb85","2.535028579","CLMB"
"CLMB","622","Rb85","3.083932394","CLMB"
"CLMB","623","Rb85","3.316800353","CLMB"
"CLMB","624","Rb85","2.404953091","CLMB"
"CLMB","625","Rb85","1.975515124","CLMB"
"CLMB","627","Rb85","4.46862871","CLMB"
"CLMB","628","Rb85","*","CLMB"
"CLMB","629","Rb85","2.55167309","CLMB"
"CLMB","630","Rb85","*","CLMB"
"CLMB","632","Rb85","1.871451037","CLMB"
"CLMB","633","Rb85","3.25163399","CLMB"
"CLMB","634","Rb85","1.680467764","CLMB"
"CLMB","635","Rb85","2.597456477","CLMB"
"CLMB","636","Rb85","1.737028179","CLMB"
"CLMB","637","Rb85","2.67321359","CLMB"
"CLMB","638","Rb85","3.677893301","CLMB"
"CLMB","639","Rb85","2.018127624","CLMB"
