"SITE","LINE","traits","Cu63","SITE2"
"CLMB","44","Cu63","9.193650739","CLMB"
"CLMB","46","Cu63","11.43664081","CLMB"
"CLMB","48","Cu63","7.377215611","CLMB"
"CLMB","49","Cu63","9.566940262","CLMB"
"CLMB","50","Cu63","6.006164467","CLMB"
"CLMB","52","Cu63","9.132808292","CLMB"
"CLMB","53","Cu63","5.188735924","CLMB"
"CLMB","54","Cu63","3.225784605","CLMB"
"CLMB","55","Cu63","7.310019648","CLMB"
"CLMB","56","Cu63","*","CLMB"
"CLMB","57","Cu63","9.030513343","CLMB"
"CLMB","58","Cu63","*","CLMB"
"CLMB","59","Cu63","3.273219247","CLMB"
"CLMB","60","Cu63","8.846199694","CLMB"
"CLMB","61","Cu63","6.520791057","CLMB"
"CLMB","62","Cu63","10.1057865","CLMB"
"CLMB","63","Cu63","8.394584901","CLMB"
"CLMB","64","Cu63","*","CLMB"
"CLMB","65","Cu63","8.53556591","CLMB"
"CLMB","66","Cu63","3.042104664","CLMB"
"CLMB","67","Cu63","4.598484775","CLMB"
"CLMB","68","Cu63","6.684129647","CLMB"
"CLMB","69","Cu63","4.288606477","CLMB"
"CLMB","70","Cu63","*","CLMB"
"CLMB","72","Cu63","8.053101244","CLMB"
"CLMB","73","Cu63","8.316524889","CLMB"
"CLMB","74","Cu63","4.526793779","CLMB"
"CLMB","75","Cu63","8.13595535","CLMB"
"CLMB","76","Cu63","3.686260579","CLMB"
"CLMB","77","Cu63","*","CLMB"
"CLMB","78","Cu63","5.631841224","CLMB"
"CLMB","79","Cu63","7.95874431","CLMB"
"CLMB","80","Cu63","*","CLMB"
"CLMB","81","Cu63","*","CLMB"
"CLMB","83","Cu63","11.20133065","CLMB"
"CLMB","84","Cu63","*","CLMB"
"CLMB","85","Cu63","10.38319515","CLMB"
"CLMB","86","Cu63","10.71570318","CLMB"
"CLMB","87","Cu63","9.93278021","CLMB"
"CLMB","88","Cu63","6.148038826","CLMB"
"CLMB","89","Cu63","5.054942107","CLMB"
"CLMB","90","Cu63","10.32727845","CLMB"
"CLMB","91","Cu63","4.945003986","CLMB"
"CLMB","93","Cu63","10.55195832","CLMB"
"CLMB","94","Cu63","5.478545876","CLMB"
"CLMB","95","Cu63","*","CLMB"
"CLMB","96","Cu63","*","CLMB"
"CLMB","97","Cu63","6.832818032","CLMB"
"CLMB","99","Cu63","8.854046271","CLMB"
"CLMB","100","Cu63","9.096151486","CLMB"
"CLMB","101","Cu63","*","CLMB"
"CLMB","102","Cu63","10.57246659","CLMB"
"CLMB","103","Cu63","11.90897352","CLMB"
"CLMB","104","Cu63","11.4974782","CLMB"
"CLMB","105","Cu63","6.901779731","CLMB"
"CLMB","106","Cu63","9.581693787","CLMB"
"CLMB","107","Cu63","7.618977191","CLMB"
"CLMB","110","Cu63","6.541981307","CLMB"
"CLMB","111","Cu63","*","CLMB"
"CLMB","112","Cu63","10.51089839","CLMB"
"CLMB","113","Cu63","*","CLMB"
"CLMB","114","Cu63","2.198000948","CLMB"
"CLMB","115","Cu63","*","CLMB"
"CLMB","116","Cu63","8.133571156","CLMB"
"CLMB","117","Cu63","8.585451026","CLMB"
"CLMB","118","Cu63","5.524858754","CLMB"
"CLMB","119","Cu63","9.338286073","CLMB"
"CLMB","120","Cu63","6.474331559","CLMB"
"CLMB","122","Cu63","4.973194903","CLMB"
"CLMB","123","Cu63","9.409019288","CLMB"
"CLMB","125","Cu63","6.781338449","CLMB"
"CLMB","126","Cu63","*","CLMB"
"CLMB","127","Cu63","*","CLMB"
"CLMB","128","Cu63","7.067517286","CLMB"
"CLMB","130","Cu63","7.965479338","CLMB"
"CLMB","131","Cu63","10.20101107","CLMB"
"CLMB","132","Cu63","12.66013659","CLMB"
"CLMB","134","Cu63","4.889133943","CLMB"
"CLMB","135","Cu63","13.78037353","CLMB"
"CLMB","136","Cu63","*","CLMB"
"CLMB","137","Cu63","10.48624938","CLMB"
"CLMB","138","Cu63","*","CLMB"
"CLMB","139","Cu63","*","CLMB"
"CLMB","142","Cu63","8.170927009","CLMB"
"CLMB","143","Cu63","11.47515819","CLMB"
"CLMB","144","Cu63","*","CLMB"
"CLMB","145","Cu63","10.51946874","CLMB"
"CLMB","146","Cu63","*","CLMB"
"CLMB","147","Cu63","8.116777774","CLMB"
"CLMB","148","Cu63","*","CLMB"
"CLMB","150","Cu63","8.431475113","CLMB"
"CLMB","151","Cu63","8.396267714","CLMB"
"CLMB","152","Cu63","*","CLMB"
"CLMB","153","Cu63","6.609327551","CLMB"
"CLMB","154","Cu63","3.285457431","CLMB"
"CLMB","155","Cu63","5.089133353","CLMB"
"CLMB","156","Cu63","5.821193758","CLMB"
"CLMB","157","Cu63","8.762876806","CLMB"
"CLMB","158","Cu63","8.049289843","CLMB"
"CLMB","159","Cu63","7.381551148","CLMB"
"CLMB","161","Cu63","9.093558926","CLMB"
"CLMB","163","Cu63","9.368373186","CLMB"
"CLMB","164","Cu63","6.79867582","CLMB"
"CLMB","166","Cu63","10.73982774","CLMB"
"CLMB","167","Cu63","7.176956447","CLMB"
"CLMB","168","Cu63","6.270531959","CLMB"
"CLMB","169","Cu63","*","CLMB"
"CLMB","170","Cu63","9.588894967","CLMB"
"CLMB","171","Cu63","6.770760788","CLMB"
"CLMB","172","Cu63","10.11132851","CLMB"
"CLMB","173","Cu63","10.86570038","CLMB"
"CLMB","174","Cu63","8.517034551","CLMB"
"CLMB","175","Cu63","*","CLMB"
"CLMB","176","Cu63","7.260518792","CLMB"
"CLMB","177","Cu63","10.36776031","CLMB"
"CLMB","178","Cu63","7.113456065","CLMB"
"CLMB","180","Cu63","4.703956579","CLMB"
"CLMB","181","Cu63","6.289338474","CLMB"
"CLMB","182","Cu63","4.275574476","CLMB"
"CLMB","184","Cu63","9.610401212","CLMB"
"CLMB","185","Cu63","*","CLMB"
"CLMB","186","Cu63","12.6443877","CLMB"
"CLMB","187","Cu63","7.847920293","CLMB"
"CLMB","188","Cu63","13.5927308","CLMB"
"CLMB","189","Cu63","*","CLMB"
"CLMB","190","Cu63","*","CLMB"
"CLMB","191","Cu63","10.76925051","CLMB"
"CLMB","192","Cu63","12.01302531","CLMB"
"CLMB","193","Cu63","8.949768566","CLMB"
"CLMB","194","Cu63","10.42380776","CLMB"
"CLMB","195","Cu63","7.401106968","CLMB"
"CLMB","196","Cu63","4.577497776","CLMB"
"CLMB","197","Cu63","9.579245362","CLMB"
"CLMB","198","Cu63","11.01141248","CLMB"
"CLMB","199","Cu63","9.536937467","CLMB"
"CLMB","200","Cu63","8.89385449","CLMB"
"CLMB","201","Cu63","*","CLMB"
"CLMB","203","Cu63","7.296610298","CLMB"
"CLMB","204","Cu63","6.770566958","CLMB"
"CLMB","205","Cu63","*","CLMB"
"CLMB","207","Cu63","6.976550889","CLMB"
"CLMB","208","Cu63","*","CLMB"
"CLMB","209","Cu63","4.588229089","CLMB"
"CLMB","210","Cu63","6.56314998","CLMB"
"CLMB","211","Cu63","11.57578708","CLMB"
"CLMB","212","Cu63","7.975170645","CLMB"
"CLMB","213","Cu63","11.4964263","CLMB"
"CLMB","214","Cu63","*","CLMB"
"CLMB","215","Cu63","9.323524106","CLMB"
"CLMB","216","Cu63","7.638232219","CLMB"
"CLMB","217","Cu63","*","CLMB"
"CLMB","218","Cu63","9.646853456","CLMB"
"CLMB","219","Cu63","8.410470556","CLMB"
"CLMB","220","Cu63","*","CLMB"
"CLMB","221","Cu63","12.90738128","CLMB"
"CLMB","222","Cu63","4.774549176","CLMB"
"CLMB","223","Cu63","3.755267476","CLMB"
"CLMB","224","Cu63","7.891272668","CLMB"
"CLMB","225","Cu63","*","CLMB"
"CLMB","226","Cu63","9.887014209","CLMB"
"CLMB","227","Cu63","8.024969631","CLMB"
"CLMB","228","Cu63","6.705901332","CLMB"
"CLMB","229","Cu63","5.756765584","CLMB"
"CLMB","230","Cu63","*","CLMB"
"CLMB","231","Cu63","13.62971363","CLMB"
"CLMB","232","Cu63","11.19119726","CLMB"
"CLMB","233","Cu63","5.054032521","CLMB"
"CLMB","234","Cu63","9.362232352","CLMB"
"CLMB","235","Cu63","5.3848125425","CLMB"
"CLMB","236","Cu63","9.68317835","CLMB"
"CLMB","237","Cu63","5.325186281","CLMB"
"CLMB","238","Cu63","9.291435202","CLMB"
"CLMB","239","Cu63","13.1298745","CLMB"
"CLMB","240","Cu63","3.854949086","CLMB"
"CLMB","241","Cu63","8.309769932","CLMB"
"CLMB","242","Cu63","10.9505738","CLMB"
"CLMB","243","Cu63","*","CLMB"
"CLMB","244","Cu63","4.043050439","CLMB"
"CLMB","245","Cu63","6.616884571","CLMB"
"CLMB","246","Cu63","7.643229719","CLMB"
"CLMB","247","Cu63","10.94492479","CLMB"
"CLMB","248","Cu63","*","CLMB"
"CLMB","249","Cu63","11.21768824","CLMB"
"CLMB","250","Cu63","10.03928566","CLMB"
"CLMB","251","Cu63","5.598910482","CLMB"
"CLMB","252","Cu63","11.92399356","CLMB"
"CLMB","253","Cu63","10.87582363","CLMB"
"CLMB","254","Cu63","*","CLMB"
"CLMB","255","Cu63","5.239476627","CLMB"
"CLMB","256","Cu63","6.55831667","CLMB"
"CLMB","257","Cu63","8.431750328","CLMB"
"CLMB","258","Cu63","9.695594791","CLMB"
"CLMB","259","Cu63","*","CLMB"
"CLMB","260","Cu63","5.607295769","CLMB"
"CLMB","261","Cu63","7.824047157","CLMB"
"CLMB","262","Cu63","12.54570839","CLMB"
"CLMB","263","Cu63","*","CLMB"
"CLMB","264","Cu63","4.596180243","CLMB"
"CLMB","265","Cu63","5.457245573","CLMB"
"CLMB","267","Cu63","*","CLMB"
"CLMB","268","Cu63","*","CLMB"
"CLMB","269","Cu63","11.01669874","CLMB"
"CLMB","270","Cu63","5.871451517","CLMB"
"CLMB","271","Cu63","4.74800329","CLMB"
"CLMB","272","Cu63","7.3142775","CLMB"
"CLMB","273","Cu63","*","CLMB"
"CLMB","274","Cu63","8.009427665","CLMB"
"CLMB","275","Cu63","4.362518192","CLMB"
"CLMB","276","Cu63","*","CLMB"
"CLMB","277","Cu63","4.145218836","CLMB"
"CLMB","278","Cu63","2.686192257","CLMB"
"CLMB","279","Cu63","8.223155927","CLMB"
"CLMB","281","Cu63","*","CLMB"
"CLMB","282","Cu63","5.71129773","CLMB"
"CLMB","283","Cu63","*","CLMB"
"CLMB","284","Cu63","6.696507462","CLMB"
"CLMB","285","Cu63","11.22793855","CLMB"
"CLMB","286","Cu63","9.633079057","CLMB"
"CLMB","287","Cu63","12.98778441","CLMB"
"CLMB","288","Cu63","6.879756616","CLMB"
"CLMB","289","Cu63","4.90107528","CLMB"
"CLMB","290","Cu63","9.059887021","CLMB"
"CLMB","292","Cu63","9.664532338","CLMB"
"CLMB","293","Cu63","9.550315824","CLMB"
"CLMB","294","Cu63","6.311548551","CLMB"
"CLMB","296","Cu63","5.448038522","CLMB"
"CLMB","297","Cu63","5.171831183","CLMB"
"CLMB","298","Cu63","11.24398932","CLMB"
"CLMB","299","Cu63","9.520801172","CLMB"
"CLMB","300","Cu63","*","CLMB"
"CLMB","301","Cu63","11.22922681","CLMB"
"CLMB","302","Cu63","4.307508184","CLMB"
"CLMB","303","Cu63","5.544254991","CLMB"
"CLMB","304","Cu63","7.112084386","CLMB"
"CLMB","305","Cu63","10.65055571","CLMB"
"CLMB","306","Cu63","*","CLMB"
"CLMB","307","Cu63","11.73465776","CLMB"
"CLMB","308","Cu63","9.919256288","CLMB"
"CLMB","310","Cu63","4.406812151","CLMB"
"CLMB","311","Cu63","4.842585392","CLMB"
"CLMB","312","Cu63","6.540056307","CLMB"
"CLMB","313","Cu63","6.107567226","CLMB"
"CLMB","314","Cu63","12.21138895","CLMB"
"CLMB","315","Cu63","6.340165918","CLMB"
"CLMB","317","Cu63","13.26169977","CLMB"
"CLMB","318","Cu63","8.586153981","CLMB"
"CLMB","319","Cu63","7.594134907","CLMB"
"CLMB","320","Cu63","3.803790652","CLMB"
"CLMB","322","Cu63","12.21550203","CLMB"
"CLMB","323","Cu63","5.143268245","CLMB"
"CLMB","324","Cu63","10.1367628","CLMB"
"CLMB","325","Cu63","9.494539969","CLMB"
"CLMB","326","Cu63","6.329527807","CLMB"
"CLMB","328","Cu63","10.10381833","CLMB"
"CLMB","330","Cu63","12.99869634","CLMB"
"CLMB","332","Cu63","9.158099749","CLMB"
"CLMB","333","Cu63","6.21033353","CLMB"
"CLMB","334","Cu63","8.661341998","CLMB"
"CLMB","335","Cu63","*","CLMB"
"CLMB","336","Cu63","6.710161927","CLMB"
"CLMB","337","Cu63","8.666598711","CLMB"
"CLMB","338","Cu63","8.365797994","CLMB"
"CLMB","339","Cu63","7.771706219","CLMB"
"CLMB","340","Cu63","*","CLMB"
"CLMB","341","Cu63","9.3610376","CLMB"
"CLMB","342","Cu63","8.606129816","CLMB"
"CLMB","343","Cu63","11.83982541","CLMB"
"CLMB","345","Cu63","12.40052431","CLMB"
"CLMB","346","Cu63","*","CLMB"
"CLMB","347","Cu63","7.346039205","CLMB"
"CLMB","349","Cu63","*","CLMB"
"CLMB","350","Cu63","7.159733465","CLMB"
"CLMB","352","Cu63","11.33624886","CLMB"
"CLMB","353","Cu63","10.24072471","CLMB"
"CLMB","354","Cu63","11.85184567","CLMB"
"CLMB","356","Cu63","6.609031311","CLMB"
"CLMB","358","Cu63","11.05165936","CLMB"
"CLMB","359","Cu63","*","CLMB"
"CLMB","360","Cu63","10.35651024","CLMB"
"CLMB","361","Cu63","3.64883168","CLMB"
"CLMB","363","Cu63","*","CLMB"
"CLMB","364","Cu63","8.590133397","CLMB"
"CLMB","365","Cu63","7.041341996","CLMB"
"CLMB","366","Cu63","7.590505631","CLMB"
"CLMB","367","Cu63","10.18555066","CLMB"
"CLMB","368","Cu63","6.769628491","CLMB"
"CLMB","369","Cu63","*","CLMB"
"CLMB","370","Cu63","7.288662136","CLMB"
"CLMB","371","Cu63","10.48986157","CLMB"
"CLMB","372","Cu63","*","CLMB"
"CLMB","373","Cu63","4.064764823","CLMB"
"CLMB","374","Cu63","9.61054803","CLMB"
"CLMB","375","Cu63","5.504456127","CLMB"
"CLMB","377","Cu63","5.667435144","CLMB"
"CLMB","378","Cu63","4.973132863","CLMB"
"CLMB","379","Cu63","3.82362922","CLMB"
"CLMB","380","Cu63","7.899583506","CLMB"
"CLMB","381","Cu63","4.747145646","CLMB"
"CLMB","382","Cu63","10.06819313","CLMB"
"CLMB","383","Cu63","10.55427337","CLMB"
"CLMB","384","Cu63","*","CLMB"
"CLMB","386","Cu63","7.919137244","CLMB"
"CLMB","388","Cu63","3.257720946","CLMB"
"CLMB","389","Cu63","9.335549117","CLMB"
"CLMB","390","Cu63","9.939107399","CLMB"
"CLMB","391","Cu63","*","CLMB"
"CLMB","392","Cu63","10.0892047","CLMB"
"CLMB","393","Cu63","10.9199035","CLMB"
"CLMB","394","Cu63","*","CLMB"
"CLMB","395","Cu63","10.45532183","CLMB"
"CLMB","396","Cu63","4.116316941","CLMB"
"CLMB","397","Cu63","9.364207245","CLMB"
"CLMB","398","Cu63","8.762430495","CLMB"
"CLMB","399","Cu63","7.278564049","CLMB"
"CLMB","400","Cu63","5.601714549","CLMB"
"CLMB","402","Cu63","8.065707308","CLMB"
"CLMB","403","Cu63","12.8218334","CLMB"
"CLMB","404","Cu63","7.002950627","CLMB"
"CLMB","405","Cu63","3.248119624","CLMB"
"CLMB","406","Cu63","5.691112482","CLMB"
"CLMB","407","Cu63","6.881236712","CLMB"
"CLMB","408","Cu63","5.596917353","CLMB"
"CLMB","409","Cu63","12.88341585","CLMB"
"CLMB","410","Cu63","3.678772579","CLMB"
"CLMB","411","Cu63","8.195549688","CLMB"
"CLMB","412","Cu63","10.58948359","CLMB"
"CLMB","413","Cu63","4.553043728","CLMB"
"CLMB","414","Cu63","7.802877376","CLMB"
"CLMB","415","Cu63","7.217123898","CLMB"
"CLMB","416","Cu63","*","CLMB"
"CLMB","417","Cu63","11.52302548","CLMB"
"CLMB","418","Cu63","8.017679761","CLMB"
"CLMB","419","Cu63","9.12935358","CLMB"
"CLMB","420","Cu63","8.117900186","CLMB"
"CLMB","421","Cu63","10.16960607","CLMB"
"CLMB","422","Cu63","7.004207395","CLMB"
"CLMB","423","Cu63","8.629753612","CLMB"
"CLMB","424","Cu63","8.504846896","CLMB"
"CLMB","425","Cu63","11.00481583","CLMB"
"CLMB","426","Cu63","10.52176764","CLMB"
"CLMB","427","Cu63","*","CLMB"
"CLMB","428","Cu63","8.626467198","CLMB"
"CLMB","429","Cu63","10.26103096","CLMB"
"CLMB","431","Cu63","9.193409489","CLMB"
"CLMB","432","Cu63","10.0980682","CLMB"
"CLMB","433","Cu63","4.449912831","CLMB"
"CLMB","435","Cu63","10.49286054","CLMB"
"CLMB","436","Cu63","8.808357363","CLMB"
"CLMB","437","Cu63","9.092899278","CLMB"
"CLMB","438","Cu63","7.888701607","CLMB"
"CLMB","439","Cu63","7.778548114","CLMB"
"CLMB","440","Cu63","*","CLMB"
"CLMB","442","Cu63","7.901209873","CLMB"
"CLMB","443","Cu63","8.518345701","CLMB"
"CLMB","444","Cu63","7.081025757","CLMB"
"CLMB","445","Cu63","6.122997101","CLMB"
"CLMB","446","Cu63","6.097428053","CLMB"
"CLMB","447","Cu63","12.16149654","CLMB"
"CLMB","448","Cu63","7.080277043","CLMB"
"CLMB","449","Cu63","10.65785017","CLMB"
"CLMB","450","Cu63","9.928799282","CLMB"
"CLMB","451","Cu63","8.382689848","CLMB"
"CLMB","452","Cu63","*","CLMB"
"CLMB","453","Cu63","7.580869775","CLMB"
"CLMB","454","Cu63","10.60829898","CLMB"
"CLMB","455","Cu63","6.914062702","CLMB"
"CLMB","456","Cu63","8.634378422","CLMB"
"CLMB","458","Cu63","8.454077541","CLMB"
"CLMB","459","Cu63","*","CLMB"
"CLMB","460","Cu63","8.787676308","CLMB"
"CLMB","461","Cu63","7.391142519","CLMB"
"CLMB","462","Cu63","12.30479839","CLMB"
"CLMB","463","Cu63","4.691117455","CLMB"
"CLMB","464","Cu63","7.710565541","CLMB"
"CLMB","465","Cu63","12.32638563","CLMB"
"CLMB","466","Cu63","8.38047011","CLMB"
"CLMB","467","Cu63","*","CLMB"
"CLMB","468","Cu63","3.018774447","CLMB"
"CLMB","469","Cu63","*","CLMB"
"CLMB","470","Cu63","*","CLMB"
"CLMB","471","Cu63","12.4918584","CLMB"
"CLMB","472","Cu63","3.617808478","CLMB"
"CLMB","473","Cu63","5.044158829","CLMB"
"CLMB","474","Cu63","9.025208945","CLMB"
"CLMB","475","Cu63","9.400065932","CLMB"
"CLMB","476","Cu63","11.1178283","CLMB"
"CLMB","477","Cu63","6.252772203","CLMB"
"CLMB","479","Cu63","*","CLMB"
"CLMB","480","Cu63","11.74387187","CLMB"
"CLMB","482","Cu63","7.56722759","CLMB"
"CLMB","483","Cu63","10.0079483","CLMB"
"CLMB","484","Cu63","9.205639404","CLMB"
"CLMB","485","Cu63","3.310626449","CLMB"
"CLMB","486","Cu63","8.586711757","CLMB"
"CLMB","487","Cu63","13.84260809","CLMB"
"CLMB","488","Cu63","*","CLMB"
"CLMB","489","Cu63","5.373486275","CLMB"
"CLMB","491","Cu63","11.25473651","CLMB"
"CLMB","492","Cu63","8.496357584","CLMB"
"CLMB","493","Cu63","*","CLMB"
"CLMB","494","Cu63","8.579572528","CLMB"
"CLMB","495","Cu63","*","CLMB"
"CLMB","496","Cu63","7.736608363","CLMB"
"CLMB","497","Cu63","7.025939426","CLMB"
"CLMB","498","Cu63","10.71527967","CLMB"
"CLMB","499","Cu63","8.111877533","CLMB"
"CLMB","500","Cu63","12.57075544","CLMB"
"CLMB","501","Cu63","8.484466155","CLMB"
"CLMB","502","Cu63","6.864210981","CLMB"
"CLMB","503","Cu63","6.098417439","CLMB"
"CLMB","504","Cu63","*","CLMB"
"CLMB","505","Cu63","12.34993274","CLMB"
"CLMB","506","Cu63","11.24637785","CLMB"
"CLMB","507","Cu63","8.590223045","CLMB"
"CLMB","508","Cu63","8.558548918","CLMB"
"CLMB","511","Cu63","5.81560208","CLMB"
"CLMB","512","Cu63","4.388809163","CLMB"
"CLMB","513","Cu63","*","CLMB"
"CLMB","514","Cu63","3.483928021","CLMB"
"CLMB","515","Cu63","5.108008979","CLMB"
"CLMB","516","Cu63","10.31332169","CLMB"
"CLMB","518","Cu63","*","CLMB"
"CLMB","519","Cu63","13.38054718","CLMB"
"CLMB","520","Cu63","*","CLMB"
"CLMB","521","Cu63","9.464936151","CLMB"
"CLMB","522","Cu63","7.324415882","CLMB"
"CLMB","523","Cu63","6.101146592","CLMB"
"CLMB","524","Cu63","3.983354487","CLMB"
"CLMB","525","Cu63","7.891363187","CLMB"
"CLMB","526","Cu63","8.689801146","CLMB"
"CLMB","527","Cu63","7.44821359","CLMB"
"CLMB","529","Cu63","7.370534271","CLMB"
"CLMB","530","Cu63","11.45382393","CLMB"
"CLMB","531","Cu63","6.299882987","CLMB"
"CLMB","532","Cu63","9.798319343","CLMB"
"CLMB","533","Cu63","3.513034776","CLMB"
"CLMB","534","Cu63","10.27505002","CLMB"
"CLMB","535","Cu63","4.749565234","CLMB"
"CLMB","536","Cu63","3.083910353","CLMB"
"CLMB","537","Cu63","9.562139167","CLMB"
"CLMB","539","Cu63","4.573229235","CLMB"
"CLMB","540","Cu63","5.393875317","CLMB"
"CLMB","541","Cu63","9.52360252","CLMB"
"CLMB","542","Cu63","8.274419851","CLMB"
"CLMB","544","Cu63","8.512280678","CLMB"
"CLMB","545","Cu63","8.299082671","CLMB"
"CLMB","546","Cu63","5.002636472","CLMB"
"CLMB","547","Cu63","8.407680471","CLMB"
"CLMB","548","Cu63","*","CLMB"
"CLMB","549","Cu63","9.78119819","CLMB"
"CLMB","551","Cu63","*","CLMB"
"CLMB","552","Cu63","6.978593689","CLMB"
"CLMB","553","Cu63","5.912127092","CLMB"
"CLMB","555","Cu63","4.845241854","CLMB"
"CLMB","556","Cu63","*","CLMB"
"CLMB","557","Cu63","*","CLMB"
"CLMB","558","Cu63","*","CLMB"
"CLMB","559","Cu63","9.509556482","CLMB"
"CLMB","560","Cu63","*","CLMB"
"CLMB","562","Cu63","7.432027462","CLMB"
"CLMB","563","Cu63","5.992428076","CLMB"
"CLMB","564","Cu63","7.809614121","CLMB"
"CLMB","565","Cu63","3.110694758","CLMB"
"CLMB","566","Cu63","3.153072307","CLMB"
"CLMB","567","Cu63","4.310724808","CLMB"
"CLMB","569","Cu63","12.06566698","CLMB"
"CLMB","570","Cu63","8.967189906","CLMB"
"CLMB","571","Cu63","4.522496591","CLMB"
"CLMB","572","Cu63","5.718990762","CLMB"
"CLMB","573","Cu63","4.94902418","CLMB"
"CLMB","574","Cu63","6.913832049","CLMB"
"CLMB","576","Cu63","9.696442298","CLMB"
"CLMB","577","Cu63","*","CLMB"
"CLMB","578","Cu63","6.874031935","CLMB"
"CLMB","579","Cu63","6.502077004","CLMB"
"CLMB","580","Cu63","*","CLMB"
"CLMB","581","Cu63","9.499241839","CLMB"
"CLMB","583","Cu63","6.971613205","CLMB"
"CLMB","584","Cu63","5.692282944","CLMB"
"CLMB","585","Cu63","7.536544681","CLMB"
"CLMB","586","Cu63","8.429967588","CLMB"
"CLMB","588","Cu63","8.224566099","CLMB"
"CLMB","589","Cu63","*","CLMB"
"CLMB","592","Cu63","6.841667718","CLMB"
"CLMB","593","Cu63","7.011288412","CLMB"
"CLMB","594","Cu63","5.826637122","CLMB"
"CLMB","595","Cu63","7.825436054","CLMB"
"CLMB","596","Cu63","12.28631087","CLMB"
"CLMB","597","Cu63","*","CLMB"
"CLMB","598","Cu63","*","CLMB"
"CLMB","599","Cu63","10.64776185","CLMB"
"CLMB","600","Cu63","7.054177876","CLMB"
"CLMB","601","Cu63","*","CLMB"
"CLMB","602","Cu63","*","CLMB"
"CLMB","603","Cu63","*","CLMB"
"CLMB","604","Cu63","13.74800596","CLMB"
"CLMB","605","Cu63","4.047167424","CLMB"
"CLMB","606","Cu63","7.355884675","CLMB"
"CLMB","608","Cu63","9.970435777","CLMB"
"CLMB","609","Cu63","5.416473808","CLMB"
"CLMB","610","Cu63","6.059840796","CLMB"
"CLMB","611","Cu63","5.836907425","CLMB"
"CLMB","612","Cu63","*","CLMB"
"CLMB","613","Cu63","6.601918662","CLMB"
"CLMB","614","Cu63","7.463838435","CLMB"
"CLMB","618","Cu63","9.384606408","CLMB"
"CLMB","619","Cu63","9.868788584","CLMB"
"CLMB","620","Cu63","*","CLMB"
"CLMB","621","Cu63","*","CLMB"
"CLMB","622","Cu63","5.315827454","CLMB"
"CLMB","623","Cu63","9.823711396","CLMB"
"CLMB","624","Cu63","3.484153149","CLMB"
"CLMB","625","Cu63","10.92637945","CLMB"
"CLMB","627","Cu63","11.22232782","CLMB"
"CLMB","628","Cu63","*","CLMB"
"CLMB","629","Cu63","9.185781317","CLMB"
"CLMB","630","Cu63","*","CLMB"
"CLMB","632","Cu63","4.451789348","CLMB"
"CLMB","633","Cu63","6.696004532","CLMB"
"CLMB","634","Cu63","9.870133406","CLMB"
"CLMB","635","Cu63","8.32917337","CLMB"
"CLMB","636","Cu63","8.954138553","CLMB"
"CLMB","637","Cu63","9.309379269","CLMB"
"CLMB","638","Cu63","10.24731332","CLMB"
"CLMB","639","Cu63","6.547366703","CLMB"
"CLMB","640","Cu63","11.03107015","CLMB"
"CLMB","641","Cu63","7.316889811","CLMB"
"CLMB","642","Cu63","8.182182459","CLMB"
"CLMB","643","Cu63","4.638349521","CLMB"
"CLMB","644","Cu63","*","CLMB"
"CLMB","645","Cu63","6.134552095","CLMB"
"CLMB","647","Cu63","7.265821421","CLMB"
"CLMB","648","Cu63","*","CLMB"
