"TRAIT","GO","NAME","FUNCTION","QTL","locusName","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG120000","AT3G02540","RAD23-3,RAD23C","Rad23 UV excision repair protein family","LOC_Os06g15360","RAD23 DNA repair protein, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG124089","AT4G31820","ENP,MAB4,NPY1","Phototropic-responsive NPH3 family protein","LOC_Os06g08550","BTBN14 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with non-phototropic hypocotyl 3 NPH3 domain, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG126100","AT2G26330","ER,QRP1","Leucine-rich receptor-like protein kinase family protein","LOC_Os06g10230","receptor-like protein kinase 5 precursor, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG131800","AT2G15790","CYP40,SQN","peptidyl-prolyl cis-trans isomerase / cyclophilin-40 (CYP40) / rotamase","LOC_Os06g11320","peptidyl-prolyl cis-trans isomerase CYP40, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG134085","AT2G24130","","Leucine-rich receptor-like protein kinase family protein","LOC_Os06g08710","receptor-like protein kinase precursor, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG135261","AT2G24130","","Leucine-rich receptor-like protein kinase family protein","LOC_Os06g08710","receptor-like protein kinase precursor, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG139377","AT4G14700","ATORC1A,ORC1A","origin recognition complex 1","LOC_Os06g08790","ORC1 - Putative origin recognition complex subunit 1, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG145400","AT5G38840","","SMAD/FHA domain-containing protein ","LOC_Os06g16430","FHA domain containing protein, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG149913","AT3G05670","","RING/U-box protein","LOC_Os06g17280","PHD-finger family protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG153600","AT1G03370","","C2 calcium/lipid-binding and GRAM domain containing protein","LOC_Os06g19400","GRAM and C2 domains containing protein, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG155881","AT3G13225","","WW domain-containing protein","LOC_Os06g19470","WW domain containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG160200","AT5G16000","NIK1","NSP-interacting kinase 1","LOC_Os06g16330","BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 precursor, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG161100","AT5G21040","FBX2","F-box protein 2","LOC_Os04g52870","OsFBW1 - F-box domain and WD40 repeat containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG166600","AT1G80570","","RNI-like superfamily protein","LOC_Os12g33230","OsFBL60 - F-box domain and LRR containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG177111","AT3G47570","","Leucine-rich repeat protein kinase family protein","LOC_Os06g38340","receptor-like protein kinase precursor, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG179700","AT3G57880","","Calcium-dependent lipid-binding (CaLB domain) plant phosphoribosyltransferase family protein","LOC_Os05g30750","anthranilate phosphoribosyltransferase, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG180000","AT5G06850","","C2 calcium/lipid-binding plant phosphoribosyltransferase family protein","LOC_Os06g41090","anthranilate phosphoribosyltransferase, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG180911","AT5G25910","AtRLP52,RLP52","receptor like protein 52","LOC_Os06g36310","receptor-like protein kinase 5 precursor, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG183200","AT5G35670","iqd33","IQ-domain 33","LOC_Os06g40850","IQ calmodulin-binding motif family protein, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG185500","AT3G42660","","transducin family protein / WD-40 repeat family protein","LOC_Os09g06560","WD domain, G-beta repeat domain containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG186300","AT3G15730","PLD,PLDALPHA1","phospholipase D alpha 1","LOC_Os06g40190","phospholipase D, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG189900","AT1G52730","","Transducin/WD40 repeat-like superfamily protein","LOC_Os06g39760","WD domain, G-beta repeat domain containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG191900","AT5G43810","AGO10,PNH,ZLL","Stabilizer of iron transporter SufD / Polynucleotidyl transferase","LOC_Os06g39640","PINHEAD, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG195900","AT1G61290","ATSYP124,SYP124","syntaxin of plants 124","LOC_Os06g39050","syntaxin, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG196600","AT1G14390","","Leucine-rich repeat protein kinase family protein","LOC_Os06g38970","expressed protein"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG197700","AT4G21160","AGD12,ZAC","Calcium-dependent ARF-type GTPase activating protein family","LOC_Os06g40704","stromal membrane-associated protein, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG200800","AT3G25800","PDF1,PP2AA2,PR 65","protein phosphatase 2A  subunit A2","LOC_Os09g07510","HEAT repeat family protein, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG201422","AT3G47570","","Leucine-rich repeat protein kinase family protein","LOC_Os06g38590","receptor-like protein kinase precursor, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG201444","AT5G46330","FLS2","Leucine-rich receptor-like protein kinase family protein","LOC_Os06g38930","leucine-rich repeat receptor protein kinase EXS precursor, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG201510","AT3G47570","","Leucine-rich repeat protein kinase family protein","LOC_Os02g12030","receptor-like protein kinase precursor, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG201600","AT3G47570","","Leucine-rich repeat protein kinase family protein","LOC_Os06g38670","receptor-like protein kinase precursor, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG205500","AT2G46500","ATPI4K GAMMA 4,PI4K GAMMA 4,UBDK GAMMA 4","phosphoinositide 4-kinase gamma 4","LOC_Os06g23290","phosphatidylinositol 3- and 4-kinase family protein, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG206800","AT3G49260","iqd21","IQ-domain 21","LOC_Os06g23390","IQ calmodulin-binding motif family protein, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG209500","AT1G78340","ATGSTU22,GSTU22","glutathione S-transferase TAU 22","LOC_Os07g28480","glutathione S-transferase, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG209511","AT1G17170","ATGSTU24,GST,GSTU24","glutathione S-transferase TAU 24","LOC_Os07g28480","glutathione S-transferase, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG212073","AT1G09640","","Translation elongation factor EF1B, gamma chain","LOC_Os06g37440","elongation factor 1-gamma, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG213100","AT1G80440","","Galactose oxidase/kelch repeat superfamily protein","LOC_Os06g39370","OsFBK16 - F-box domain and kelch repeat containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG215500","AT1G09640","","Translation elongation factor EF1B, gamma chain","LOC_Os06g37440","elongation factor 1-gamma, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG219200","AT2G04740","","ankyrin repeat family protein","LOC_Os06g21330","ABB1 - Ankyrin repeat region with 2 Bric-a-Brac, Tramtrack, Broad Complex BTB domains, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG219600","AT3G57680","","Peptidase S41 family protein","LOC_Os06g21380","OsCttP3 - Putative C-terminal processing peptidase homologue, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG225000","AT3G61590","HS,HWS","Galactose oxidase/kelch repeat superfamily protein","LOC_Os02g15950","OsFBK5 - F-box domain and kelch repeat containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG225400","AT3G61600","ATPOB1,POB1","POZ/BTB containin G-protein 1","LOC_Os06g31100","E1-BTB2 - Bric-a-Brac, Tramtrack, and Broad Complex domain with E1 subfamily conserved sequence, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG230399","AT1G69550","","disease resistance protein (TIR-NBS-LRR class)","LOC_Os11g10760","NBS-LRR disease resistance protein, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","4N@31.99","Pavir.4NG230652","AT3G14460","","LRR and NB-ARC domains-containing disease resistance protein","LOC_Os11g10550","NBS-LRR disease resistance protein, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG144014","AT2G32660","AtRLP22,RLP22","receptor like protein 22","LOC_Os10g03100","Cf2/Cf5 disease resistance protein, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG144021","AT2G34930","","disease resistance family protein / LRR family protein","LOC_Os11g35490","leucine rich repeat protein, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG144300","AT1G68780","","RNI-like superfamily protein","LOC_Os01g02060","TOO MANY MOUTHS precursor, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG148000","AT5G62790","DXR,PDE129","1-deoxy-D-xylulose 5-phosphate reductoisomerase","LOC_Os01g01710","1-deoxy-D-xylulose 5-phosphate reductoisomerase, chloroplast precursor, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG148200","AT3G48190","ATATM,ATM","ataxia-telangiectasia mutated","LOC_Os01g01689","phosphatidylinositol 3- and 4-kinase family protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG151900","AT3G02130","RPK2,TOAD2","receptor-like protein kinase 2","LOC_Os07g41140","receptor-like protein kinase precursor, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG164400","AT3G16830","TPR2","TOPLESS-related 2","LOC_Os01g15020","lissencephaly type-1-like homology motif, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG165600","AT5G46860","ATSYP22,ATVAM3,SGR3,SYP22,VAM3","Syntaxin/t-SNARE family protein","LOC_Os01g15110","syntaxin, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG167900","AT3G14460","","LRR and NB-ARC domains-containing disease resistance protein","LOC_Os01g15580","disease resistance protein RGA2, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG178800","AT5G23950","","Calcium-dependent lipid-binding (CaLB domain) family protein","LOC_Os08g44850","C2 domain containing protein, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG185200","AT3G14460","","LRR and NB-ARC domains-containing disease resistance protein","LOC_Os11g10550","NBS-LRR disease resistance protein, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG185207","AT2G27040","AGO4,OCP11","Argonaute family protein","LOC_Os04g06770","argonaute, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG185214","AT3G14460","","LRR and NB-ARC domains-containing disease resistance protein","LOC_Os11g10550","NBS-LRR disease resistance protein, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG186400","AT2G27040","AGO4,OCP11","Argonaute family protein","LOC_Os01g16870","argonaute, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG195200","AT4G26810","","SWIB/MDM2 domain superfamily protein","LOC_Os09g04720","SWIB/MDM2 domain containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG200600","AT5G03970","","F-box associated ubiquitination effector family protein","LOC_Os07g02890","OsFBX209 - F-box domain containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG206700","","","","LOC_Os07g02910","OsFBL33 - F-box domain and LRR containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG207200","","","","LOC_Os07g02890","OsFBX209 - F-box domain containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG208200","AT2G26850","","F-box family protein","LOC_Os01g17390","OsFBX5 - F-box domain containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG209200","AT5G21090","","Leucine-rich repeat (LRR) family protein","LOC_Os01g17250","BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 precursor, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG210000","AT2G26990","ATCSN2,COP12,CSN2,FUS12","proteasome family protein","LOC_Os01g17180","proteasome subunit, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG220300","AT3G62760","ATGSTF13","Glutathione S-transferase family protein","LOC_Os01g27360","glutathione S-transferase, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG230914","AT3G06720","AIMP ALPHA,AT-IMP,ATKAP ALPHA,IMPA-1,IMPA1","importin alpha isoform 1","LOC_Os05g06350","importin subunit alpha, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG231500","AT5G48460","","Actin binding Calponin homology (CH) domain-containing protein","LOC_Os01g33080","fimbrin-like protein 2, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG235400","AT3G62760","ATGSTF13","Glutathione S-transferase family protein","LOC_Os01g27360","glutathione S-transferase, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG235600","AT3G62760","ATGSTF13","Glutathione S-transferase family protein","LOC_Os01g27480","glutathione S-transferase, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG238300","","","","LOC_Os05g40360","expressed protein"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG240200","AT3G16510","","Calcium-dependent lipid-binding (CaLB domain) family protein","LOC_Os01g27190","C2 domain containing protein, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG240300","AT3G62760","ATGSTF13","Glutathione S-transferase family protein","LOC_Os01g27210","glutathione S-transferase, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG241800","AT3G21410","","F-box and associated interaction domains-containing protein","LOC_Os01g37670","OsFBX15 - F-box domain containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG242700","AT2G39760","ATBPM3,BPM3","BTB/POZ/MATH-domains containing protein","LOC_Os07g20130","MATH domain containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG247800","AT3G62760","ATGSTF13","Glutathione S-transferase family protein","LOC_Os01g27390","glutathione S-transferase, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG248600","AT4G03020","","transducin family protein / WD-40 repeat family protein","LOC_Os01g28680","WD domain, G-beta repeat domain containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG257400","AT4G16144","AMSH3","associated molecule with the SH3 domain of STAM 3","LOC_Os01g23640","mov34/MPN/PAD-1 family protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG265600","AT1G73720","SMU1","transducin family protein / WD-40 repeat family protein","LOC_Os01g21940","WD domain, G-beta repeat domain containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG266900","","","","LOC_Os07g02890","OsFBX209 - F-box domain containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG293300","AT5G07610","","F-box family protein","LOC_Os01g28300","OsFBX7 - F-box domain containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG304000","AT4G16144","AMSH3","associated molecule with the SH3 domain of STAM 3","LOC_Os01g31470","mov34/MPN/PAD-1 family protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG309621","AT5G48460","","Actin binding Calponin homology (CH) domain-containing protein","LOC_Os01g33080","fimbrin-like protein 2, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG309628","AT2G01210","","Leucine-rich repeat protein kinase family protein","LOC_Os01g33090","expressed protein"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG309800","AT2G01210","","Leucine-rich repeat protein kinase family protein","LOC_Os01g33090","expressed protein"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG333900","AT5G25290","","F-box family protein with a domain of unknown function (DUF295)","LOC_Os11g37390","OsFBDUF54 - F-box and DUF domain containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG350700","AT1G23180","","ARM repeat superfamily protein","LOC_Os01g34080","armadillo/beta-catenin-like repeat family protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","5K@37.73","Pavir.5KG428107","AT5G12430","","Heat shock protein DnaJ with tetratricopeptide repeat","LOC_Os05g31062","DNAJ heat shock N-terminal domain-containing protein, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","7K@41.91","Pavir.7KG335100","AT1G79350","EMB1135","RING/FYVE/PHD zinc finger superfamily protein","LOC_Os08g12680","zinc finger domain, LSD1 subclass family protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","7K@41.91","Pavir.7KG340800","AT1G31280","AGO2","Argonaute family protein","LOC_Os04g52540","retrotransposon protein, putative, unclassified, expressed"
"Al27","GO:0005515","protein binding","molecular_function","7K@41.91","Pavir.7KG344500","AT5G56190","","Transducin/WD40 repeat-like superfamily protein","LOC_Os02g48964","WD-40 repeat family protein, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","7K@41.91","Pavir.7KG349600","AT5G60570","","Galactose oxidase/kelch repeat superfamily protein","LOC_Os04g52830","OsFBK15 - F-box domain and kelch repeat containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","7K@41.91","Pavir.7KG352670","AT5G65630","GTE7","global transcription factor group E7","LOC_Os04g53170","bromodomain containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","7K@41.91","Pavir.7KG393600","AT3G06190","ATBPM2,BPM2","BTB-POZ and MATH domain 2","LOC_Os04g53410","MBTB7 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with Meprin and TRAF Homology MATH domain, expressed"
"Al27","GO:0005515","protein binding","molecular_function","7K@41.91","Pavir.7KG393700","AT3G06190","ATBPM2,BPM2","BTB-POZ and MATH domain 2","LOC_Os04g53410","MBTB7 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with Meprin and TRAF Homology MATH domain, expressed"
"Al27","GO:0005515","protein binding","molecular_function","7K@41.91","Pavir.7KG393800","AT3G06190","ATBPM2,BPM2","BTB-POZ and MATH domain 2","LOC_Os04g53410","MBTB7 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with Meprin and TRAF Homology MATH domain, expressed"
"Al27","GO:0005515","protein binding","molecular_function","7K@41.91","Pavir.7KG394000","AT3G06190","ATBPM2,BPM2","BTB-POZ and MATH domain 2","LOC_Os04g53410","MBTB7 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with Meprin and TRAF Homology MATH domain, expressed"
"Al27","GO:0005515","protein binding","molecular_function","7K@41.91","Pavir.7KG394100","AT5G19000","ATBPM1,BPM1","BTB-POZ and MATH domain 1","LOC_Os08g13000","MBTB20 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with Meprin and TRAF Homology MATH domain, expressed"
"Al27","GO:0005515","protein binding","molecular_function","7K@41.91","Pavir.7KG394200","AT2G39760","ATBPM3,BPM3","BTB/POZ/MATH-domains containing protein","LOC_Os04g53410","MBTB7 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with Meprin and TRAF Homology MATH domain, expressed"
"Al27","GO:0005515","protein binding","molecular_function","7K@41.91","Pavir.7KG394300","AT3G06190","ATBPM2,BPM2","BTB-POZ and MATH domain 2","LOC_Os04g53410","MBTB7 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with Meprin and TRAF Homology MATH domain, expressed"
"Al27","GO:0005515","protein binding","molecular_function","7K@41.91","Pavir.7KG396700","AT3G21820","ATXR2,SDG36","histone-lysine N-methyltransferase ATXR2","LOC_Os04g53700","zinc finger protein, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","7K@41.91","Pavir.7KG406800","AT5G03250","","Phototropic-responsive NPH3 family protein","LOC_Os04g54400","BTBN12 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with non-phototropic hypocotyl 3 NPH3 and coiled-coil domains, expressed"
"Al27","GO:0005515","protein binding","molecular_function","7K@41.91","Pavir.7KG412100","AT3G47690","ATEB1A,ATEB1H2,EB1A","microtubule end binding protein EB1A","LOC_Os04g54940","ATEB1A-like microtubule associated protein, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","9K@76.29","Pavir.9KG383100","AT5G39250","","F-box family protein","LOC_Os03g30920","OsFBX95 - F-box domain containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","9K@76.29","Pavir.9KG389500","AT4G33160","","F-box family protein","LOC_Os03g28130","OsFBX94 - F-box domain containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","9K@76.29","Pavir.9KG391550","AT4G28450","","nucleotide binding;protein binding","LOC_Os01g13730","WD domain, G-beta repeat domain containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","9K@76.29","Pavir.9KG395800","AT1G53730","SRF6","STRUBBELIG-receptor family 6","LOC_Os07g42626","STRUBBELIG-RECEPTOR FAMILY 6 precursor, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","9K@76.29","Pavir.9KG396200","AT1G10580","","Transducin/WD40 repeat-like superfamily protein","LOC_Os03g27970","WD domain, G-beta repeat domain containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","9K@76.29","Pavir.9KG396800","AT1G45231","","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","LOC_Os03g27930","RNA cap guanine-N2 methyltransferase domain containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","9K@76.29","Pavir.9KG400400","AT1G52570","PLDALPHA2","phospholipase D alpha 2","LOC_Os03g27370","phospholipase D, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","9K@76.29","Pavir.9KG400803","AT3G25460","","F-box and associated interaction domains-containing protein","LOC_Os03g25190","OsFBX87 - F-box domain containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","9K@76.29","Pavir.9KG401300","AT1G78280","","transferases, transferring glycosyl groups","LOC_Os03g27250","OsFBO14 - F-box and other domain containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","9K@76.29","Pavir.9KG402400","AT5G64220","","Calmodulin-binding transcription activator protein with CG-1 and Ankyrin domains","LOC_Os07g43030","calmodulin-binding transcription activator, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","9K@76.29","Pavir.9KG404000","AT1G78070","","Transducin/WD40 repeat-like superfamily protein","LOC_Os03g26870","WD-40 repeat family protein, putative, expressed"
"Al27","GO:0005515","protein binding","molecular_function","9K@76.29","Pavir.9KG422733","AT1G56500","","haloacid dehalogenase-like hydrolase family protein","LOC_Os03g19760","HAD-superfamily hydrolase, subfamily IA, variant 3 containing protein, expressed"
"Al27","GO:0005515","protein binding","molecular_function","9K@76.29","Pavir.9KG423000","AT5G21170","AKINBETA1","5\'-AMP-activated protein kinase beta-2 subunit protein","LOC_Os03g20340","SNF1-related protein kinase regulatory subunit beta-1, putative, expressed"
