"GO.ID","Term","Annotated","Significant","Expected","raw.p.value","Trait","pr"
"GO:0005618","cell wall",143,7,2.29,"0.0079","Fe54","CC"
"GO:0009916","alternative oxidase activity",11,3,0.16,"0.00048","Fe54","MF"
"GO:0016747","transferase activity, transferring acyl groups other than amino-acyl groups",521,18,7.69,"0.00067","Fe54","MF"
"GO:0003690","double-stranded DNA binding",112,7,1.65,"0.00139","Fe54","MF"
"GO:0016762","xyloglucan:xyloglucosyl transferase activity",64,5,0.94,"0.00255","Fe54","MF"
"GO:0009378","four-way junction helicase activity",54,4,0.8,"0.00826","Fe54","MF"
"GO:0048544","recognition of pollen",189,9,2.74,"0.0018","Fe54","BP"
"GO:0006073","cellular glucan metabolic process",127,7,1.84,"0.0023","Fe54","BP"
"GO:0006633","fatty acid biosynthetic process",177,8,2.56,"0.0044","Fe54","BP"
"GO:0006310","DNA recombination",87,5,1.26,"0.0087","Fe54","BP"
"GO:0005615","extracellular space",43,8,2.62,"0.0039","K39","CC"
"GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",697,65,42.83,"0.00023","K39","MF"
"GO:0004197","cysteine-type endopeptidase activity",33,9,2.03,"0.00044","K39","MF"
"GO:0020037","heme binding",961,84,59.05,"0.00073","K39","MF"
"GO:0005506","iron ion binding",699,63,42.95,"0.00155","K39","MF"
"GO:0004334","fumarylacetoacetase activity",6,3,0.37,"0.00402","K39","MF"
"GO:0004176","ATP-dependent peptidase activity",20,5,1.23,"0.00621","K39","MF"
"GO:0008146","sulfotransferase activity",13,4,0.8,"0.00649","K39","MF"
"GO:0004842","ubiquitin-protein transferase activity",233,25,14.32,"0.00755","K39","MF"
"GO:0006694","steroid biosynthetic process",63,11,3.9,"0.0015","K39","BP"
"GO:0007186","G protein-coupled receptor signaling pathway",42,7,2.6,"0.0023","K39","BP"
"GO:0030014","CCR4-NOT complex",10,5,0.93,"0.0012","Mg26","CC"
"GO:0005739","mitochondrion",230,32,21.46,"0.0029","Mg26","CC"
"GO:0030246","carbohydrate binding",405,55,33.92,"0.00061","Mg26","MF"
"GO:0003690","double-stranded DNA binding",112,19,9.38,"0.00235","Mg26","MF"
"GO:0016760","cellulose synthase (UDP-forming) activity",32,8,2.68,"0.00405","Mg26","MF"
"GO:0004452","isopentenyl-diphosphate delta-isomerase activity",6,3,0.5,"0.00967","Mg26","MF"
"GO:0006402","mRNA catabolic process",20,6,1.73,"0.0055","Mg26","BP"
"GO:0015031","protein transport",348,37,30.06,"0.0082","Mg26","BP"
"GO:0005739","mitochondrion",230,21,10.08,"0.00098","Mn55","CC"
"GO:0000786","nucleosome",77,9,3.38,"0.00622","Mn55","CC"
"GO:0009538","photosystem I reaction center",10,3,0.44,"0.00795","Mn55","CC"
"GO:0030014","CCR4-NOT complex",10,3,0.44,"0.00795","Mn55","CC"
"GO:0003690","double-stranded DNA binding",112,14,4.72,"0.00031","Mn55","MF"
"GO:0016756","glutathione gamma-glutamylcysteinyltransferase activity",5,3,0.21,"0.00070","Mn55","MF"
"GO:0004519","endonuclease activity",80,8,3.37,"0.00114","Mn55","MF"
"GO:0043565","sequence-specific DNA binding",570,40,24.01,"0.00197","Mn55","MF"
"GO:0004834","tryptophan synthase activity",16,4,0.67,"0.00380","Mn55","MF"
"GO:0003700","DNA-binding transcription factor activity",1054,62,44.4,"0.00527","Mn55","MF"
"GO:0046938","phytochelatin biosynthetic process",5,3,0.22,"0.00074","Mn55","BP"
"GO:0006308","DNA catabolic process",19,5,0.82,"0.00127","Mn55","BP"
"GO:0010038","response to metal ion",8,3,0.34,"0.00378","Mn55","BP"
"GO:0006402","mRNA catabolic process",20,4,0.86,"0.00950","Mn55","BP"
"GO:0015979","photosynthesis",154,12,6.62,"0.00952","Mn55","BP"
"GO:0016020","membrane",3628,107,96.84,"0.0078","Mo98","CC"
"GO:0005674","transcription factor TFIIF complex",6,2,0.16,"0.0099","Mo98","CC"
"GO:0004396","hexokinase activity",15,4,0.37,"0.00042","Mo98","MF"
"GO:0005536","glucose binding",15,4,0.37,"0.00042","Mo98","MF"
"GO:0004089","carbonate dehydratase activity",8,3,0.2,"0.00079","Mo98","MF"
"GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",697,32,17.39,"0.00118","Mo98","MF"
"GO:0005524","ATP binding",3104,102,77.42,"0.00225","Mo98","MF"
"GO:0016887","ATPase activity",478,21,11.92,"0.00472","Mo98","MF"
"GO:0015238","drug transmembrane transporter activity",115,9,2.87,"0.00507","Mo98","MF"
"GO:0008408","3'-5' exonuclease activity",64,6,1.6,"0.00518","Mo98","MF"
"GO:0004471","malate dehydrogenase (decarboxylating) (NAD+) activity",15,3,0.37,"0.00562","Mo98","MF"
"GO:0003910","DNA ligase (ATP) activity",6,2,0.15,"0.00872","Mo98","MF"
"GO:0001678","cellular glucose homeostasis",15,4,0.37,"0.00039","Mo98","BP"
"GO:0046835","carbohydrate phosphorylation",15,4,0.37,"0.00039","Mo98","BP"
"GO:0048544","recognition of pollen",189,12,4.64,"0.00252","Mo98","BP"
"GO:0006367","transcription initiation from RNA polymerase II promoter",26,4,0.64,"0.00349","Mo98","BP"
"GO:0006855","drug transmembrane transport",106,8,2.6,"0.00460","Mo98","BP"
"GO:0006897","endocytosis",5,2,0.12,"0.00572","Mo98","BP"
"GO:0033179","proton-transporting V-type ATPase, V0 domain",9,2,0.08,"0.0028","Na23","CC"
"GO:0000178","exosome (RNase complex)",12,2,0.11,"0.0050","Na23","CC"
"GO:0008408","3'-5' exonuclease activity",64,5,0.57,"0.00026","Na23","MF"
"GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",697,16,6.19,"0.00083","Na23","MF"
"GO:0003883","CTP synthase activity",10,2,0.09,"0.00337","Na23","MF"
"GO:0016887","ATPase activity",478,10,4.25,"0.00424","Na23","MF"
"GO:0006139","nucleobase-containing compound metabolic process",4065,39,36.33,"0.0001","Na23","BP"
"GO:0015991","ATP hydrolysis coupled proton transport",57,4,0.51,"0.0017","Na23","BP"
"GO:0005874","microtubule",38,15,5.55,"0.0003","P31","CC"
"GO:0005634","nucleus",1267,204,184.94,"0.0074","P31","CC"
"GO:0003700","DNA-binding transcription factor activity",1054,188,145.78,"0.00012","P31","MF"
"GO:0003924","GTPase activity",86,25,11.89,"0.00018","P31","MF"
"GO:0003993","acid phosphatase activity",22,9,3.04,"0.00166","P31","MF"
"GO:0016844","strictosidine synthase activity",44,14,6.09,"0.00178","P31","MF"
"GO:0051536","iron-sulfur cluster binding",134,29,18.53,"0.00346","P31","MF"
"GO:0019825","oxygen binding",4,3,0.55,"0.00948","P31","MF"
"GO:0007017","microtubule-based process",225,44,31.49,"0.00068","P31","BP"
"GO:0006605","protein targeting",67,13,9.38,"0.00207","P31","BP"
"GO:0048544","recognition of pollen",189,41,26.45,"0.00252","P31","BP"
"GO:0045017","glycerolipid biosynthetic process",41,8,5.74,"0.00942","P31","BP"
"GO:0005576","extracellular region",144,13,7.55,"0.00059","Rb85","CC"
"GO:0043531","ADP binding",788,67,42.65,"0.00018","Rb85","MF"
"GO:0004451","isocitrate lyase activity",8,4,0.43,"0.00050","Rb85","MF"
"GO:0005515","protein binding",5578,344,301.92,"0.00057","Rb85","MF"
"GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds",725,64,39.24,"0.00207","Rb85","MF"
"GO:0030170","pyridoxal phosphate binding",159,18,8.61,"0.00248","Rb85","MF"
"GO:0045300","acyl-[acyl-carrier-protein] desaturase activity",19,5,1.03,"0.00284","Rb85","MF"
"GO:0052725","inositol-1,3,4-trisphosphate 6-kinase activity",12,4,0.65,"0.00298","Rb85","MF"
"GO:0052726","inositol-1,3,4-trisphosphate 5-kinase activity",12,4,0.65,"0.00298","Rb85","MF"
"GO:0047325","inositol tetrakisphosphate 1-kinase activity",12,4,0.65,"0.00298","Rb85","MF"
"GO:0000155","phosphorelay sensor kinase activity",22,5,1.19,"0.00561","Rb85","MF"
"GO:0008081","phosphoric diester hydrolase activity",44,6,2.38,"0.00686","Rb85","MF"
"GO:0047746","chlorophyllase activity",3,2,0.16,"0.00847","Rb85","MF"
"GO:0005975","carbohydrate metabolic process",1078,79,57.86,"0.0004","Rb85","BP"
"GO:0032957","inositol trisphosphate metabolic process",12,4,0.64,"0.0029","Rb85","BP"
"GO:0006904","vesicle docking involved in exocytosis",22,5,1.18,"0.0054","Rb85","BP"
"GO:0015996","chlorophyll catabolic process",3,2,0.16,"0.0083","Rb85","BP"
"GO:0005634","nucleus",1267,100,72.27,"0.00067","Sr88","CC"
"GO:0045735","nutrient reservoir activity",84,45,5.39,"< 1e-30","Sr88","MF"
"GO:0010333","terpene synthase activity",114,17,7.31,"0.00095","Sr88","MF"
"GO:0047750","cholestenol delta-isomerase activity",5,3,0.32,"0.00239","Sr88","MF"
"GO:0043531","ADP binding",788,71,50.54,"0.00245","Sr88","MF"
"GO:0005507","copper ion binding",128,17,8.21,"0.00340","Sr88","MF"
"GO:0008677","2-dehydropantoate 2-reductase activity",2,2,0.13,"0.00411","Sr88","MF"
"GO:0004672","protein kinase activity",2724,204,174.7,"0.00886","Sr88","MF"
"GO:0006308","DNA catabolic process",19,6,1.18,"0.00075","Sr88","BP"
"GO:0045132","meiotic chromosome segregation",4,3,0.25,"0.00090","Sr88","BP"
"GO:0006468","protein phosphorylation",2726,206,168.61,"0.00096","Sr88","BP"
"GO:0030001","metal ion transport",291,31,18,"0.00209","Sr88","BP"
"GO:0016125","sterol metabolic process",5,3,0.31,"0.00215","Sr88","BP"
"GO:0018279","protein N-linked glycosylation via asparagine",2,2,0.12,"0.00382","Sr88","BP"
"GO:0016992","lipoate synthase activity",11,4,0.39,"0.00042","Zn66","MF"
"GO:0051539","4 iron, 4 sulfur cluster binding",21,4,0.74,"0.00580","Zn66","MF"
"GO:0009916","alternative oxidase activity",11,3,0.39,"0.00592","Zn66","MF"
"GO:0003700","DNA-binding transcription factor activity",1054,53,37.37,"0.00706","Zn66","MF"
"GO:0047617","acyl-CoA hydrolase activity",4,2,0.14,"0.00718","Zn66","MF"
"GO:0004568","chitinase activity",37,5,1.31,"0.00943","Zn66","MF"
"GO:0042393","histone binding",67,7,2.38,"0.00946","Zn66","MF"
"GO:0004540","ribonuclease activity",58,4,2.06,"0.00975","Zn66","MF"
"GO:0009107","lipoate biosynthetic process",11,4,0.43,"0.00062","Zn66","BP"
"GO:0016998","cell wall macromolecule catabolic process",41,6,1.61,"0.00495","Zn66","BP"
"GO:0030001","metal ion transport",291,20,11.4,"0.00759","Zn66","BP"
"GO:0006379","mRNA cleavage",4,2,0.16,"0.00873","Zn66","BP"
