"SITE","LINE","B","Na","Mg","Al","P","K","Ca","Mn","Fe","Co","Cu","Zn","As","Se","Rb","Sr","Mo","Cd"
"MI","17",3.167941914,6.658847273,1822.876789,41.50463307,172.6442614,61715.62407,995.8038596,55.87503315,22.19593833,0.024243574,2.870444081,4.571396921,0.018260209,NA,0.9899992,3.25074836,0.017701839,0.044944188
"MI","170",2.038931986,9.403714409,1400.777867,40.45365005,338.1152039,70132.01712,1783.722101,48.34562839,28.43134539,0.03399976,4.112016966,5.600609412,0.01053564,NA,1.950339707,5.742445592,0.05576508,0.024912737
"MI","171",2.915354335,15.2547463,1621.661135,36.89649231,375.5945011,55401.20886,1657.82168,36.96205582,26.5437651,0.02852477,NA,5.348766198,0.007028317,NA,1.406325115,4.891809839,0.027357922,0.023654493
"MI","172",7.441953923,NA,1009.25522,25.85030777,264.0279333,72929.80243,661.9751567,25.75132864,16.7289958,0.019209581,2.628268438,3.677780622,0.005206223,NA,1.070266956,1.919608542,0.018831427,0.007563761
"MI","173",6.711432025,9.130131196,1298.316642,27.70751141,154.8548436,16446.20511,984.7653074,43.42177189,16.77121332,0.019861859,2.873548418,4.215947976,0.005146329,NA,0.318535735,2.477196458,0.015293251,0.038400481
"MI","174",3.447949208,4.463720961,1311.888747,27.62556624,291.7372902,14794.44678,1075.602257,32.58225002,21.62017717,0.019458616,3.264129336,3.919449252,0.008242976,NA,0.272366381,3.110121856,0.027309482,0.018145064
"MI","175",2.229448039,8.15202944,1225.508918,60.52503267,358.6668109,94867.2902,2021.503016,44.73569557,34.96802359,0.025861787,3.06261164,4.681218353,NA,0.000360167,1.756243313,5.821725804,0.040506123,0.027636458
"MI","176",2.97010604,5.971060042,1259.679715,31.65893244,183.2543927,51769.40207,2209.952636,50.76390116,23.267779,0.034414706,2.926182994,3.963768023,0.008674111,NA,1.135291532,5.705776051,0.02853965,0.028867905
"MI","177",2.203567397,6.458341077,1416.227457,33.54229617,273.0079694,38636.67693,1564.552069,87.53389667,25.90101749,0.033666248,3.469399935,4.578057033,0.008011184,NA,1.081411312,4.497548433,0.039891967,0.058861936
"MI","178",4.120513345,19.53117421,1323.771701,26.72920596,253.3776403,40548.19839,NA,44.30966456,25.74836535,NA,3.653151104,NA,0.01190019,0.017278976,1.127002028,4.04086665,0.025773866,0.011804543
"MI","18",4.075635813,11.89586185,1308.888543,22.49236914,151.964891,19330.42329,NA,30.44630698,16.10045843,NA,3.570877128,NA,0.004592576,0.009468216,0.440066427,3.484891863,0.016590962,0.04222549
"MI","182",2.710731323,16.63407603,1544.445965,42.13070203,207.2778367,34323.13723,1450.256597,40.70649928,24.62210713,0.026692966,2.958573829,6.124335796,0.010044742,NA,0.685384325,5.12413742,0.022072619,0.048876677
"MI","184",5.202712987,10.22033255,997.468135,30.02925436,231.7087014,57089.77484,2046.82545,71.46396037,22.29221374,0.040179378,3.23033501,NA,0.007482441,0.006933986,1.134354579,3.671896514,0.030844435,0.018717887
"MI","185",6.090658198,11.59361342,1018.531464,35.63859459,216.5962795,51735.35896,1559.3434,28.95864768,23.7692201,0.024024537,3.100177871,5.509400094,0.006793517,0.017621032,0.80399435,3.5681389,0.036505508,0.013557733
"MI","187",2.767454382,7.564152194,1376.819932,79.43916852,366.2616564,76928.61433,1959.927292,NA,41.03905599,0.027546152,4.596205675,9.689775171,0.021678598,NA,1.684601863,5.006815794,0.044566291,0.085257195
"MI","188",4.049465883,4.84253801,1202.307577,57.97781291,396.974717,54626.29205,1431.600163,55.36382314,27.36193619,0.019440286,2.999221459,9.40726018,0.012530725,NA,1.277561139,4.094150136,0.030642987,0.023324506
"MI","189",3.202139467,7.476563409,853.9779266,33.44047173,275.6493074,58244.36635,789.7752812,34.33353354,22.20363918,0.015360864,2.144292923,3.387005412,0.0172515,NA,0.763144818,2.154455344,0.018730931,0.017908406
"MI","19",2.431125485,NA,2151.77947,43.17647193,323.1637675,43337.87387,1903.892507,73.00219239,39.00263701,0.04267852,5.180842659,4.175082824,0.01475938,NA,1.293989511,6.276881971,0.033185677,0.020715262
"MI","190",4.101010773,13.79834472,1285.015851,35.42331256,170.7572754,17140.82873,1583.921788,65.99758588,25.57394747,0.021061851,3.045478037,3.775637364,0.012360477,NA,0.412611249,5.315806087,0.01910064,0.046070423
"MI","191",2.359819134,11.05978762,1247.684022,36.4634807,143.6272181,51141.96105,1861.918615,27.92587179,27.10359653,0.023178099,3.853382422,2.554922427,0.010593987,NA,1.001363975,4.935992563,0.046321062,0.015552471
"MI","193",1.63770812,6.039401213,971.5456757,33.949733,182.5571821,97290.24989,1042.763287,64.0662795,18.57702966,0.028825851,3.088898722,6.927017283,0.005331001,NA,1.389990276,3.54335968,0.026819732,0.043851544
"MI","194",2.800576483,10.52619417,1250.273423,38.02614642,237.2403307,55075.53495,1142.876907,32.5924132,25.71925022,0.02528674,3.811523224,4.683990442,0.007772864,NA,0.871624309,2.52687646,0.035201647,0.032639053
"MI","195",2.805111111,10.13845833,1509.761549,49.44606325,256.7267642,50238.59334,1345.751293,47.2048176,31.32123064,0.028269222,4.574998049,5.415029528,0.014588139,0.000835933,0.863074476,4.700456769,0.039910788,0.041126927
"MI","196",2.931242851,5.883957856,1654.705835,51.31940675,234.4510904,63983.56513,1273.547527,58.04445229,23.25665654,0.016978027,2.155516017,6.068490838,0.010308572,NA,1.008705834,3.013388637,0.017243768,0.063879061
"MI","197",2.585114754,8.055892051,857.2499874,26.61284564,247.666146,59078.98273,1234.296173,33.76399751,18.16553572,0.016599334,3.534889893,2.861212411,0.010700727,NA,1.397232406,3.225655144,0.028619052,0.015886034
"MI","198",4.294771327,18.04385197,1305.716591,29.2891756,296.2277674,86904.43652,1180.318635,52.07954511,21.09639115,0.021480953,3.200481877,11.62292146,0.009208633,0.006731693,1.47215293,3.250276699,0.029086624,0.018771483
"MI","199",2.79686924,5.389177426,1935.230243,51.04548034,390.267513,56890.37114,1051.825388,86.09503442,30.98941909,0.024359029,6.583768985,12.8029139,0.0158471,0.00298629,1.073420652,3.777845405,0.035020084,NA
"MI","2",3.518919645,6.804531082,1425.666786,40.47907754,441.7102485,63610.71219,2068.168265,60.71677607,36.67651926,0.039141893,4.904429076,10.25117599,0.01240809,NA,1.305292466,5.792358779,NA,0.034400147
"MI","20",2.1201388,7.132833224,1271.544235,31.61132593,237.7623859,64753.28745,1460.399464,59.7263392,23.00587332,0.025810616,3.779555622,5.023733471,0.006994127,NA,1.226382482,4.467712332,0.020697028,0.024549104
"MI","200",4.568682621,6.704610736,1105.647756,30.91371845,247.6472907,50679.51663,1859.751671,41.51798865,20.31521416,0.017719074,2.116313573,4.140513836,0.007766823,0.020263571,0.854733978,4.361397105,0.032527185,0.024222683
"MI","201",5.781372142,NA,1577.977748,37.19266146,211.338257,52039.13189,1164.028965,49.3978875,27.01259204,0.025012285,3.316544431,7.289262915,0.009413368,0.000906225,0.829369331,2.795409349,0.035030743,0.035481344
"MI","203",4.133563344,10.65727436,1596.478664,69.6094211,299.2143082,45163.51777,2021.956152,43.70833754,35.45325462,0.02269839,3.729472882,6.166990219,0.016362536,NA,0.870383136,5.728721821,0.036418628,0.033889739
"MI","204",3.710440965,5.21222308,1716.835011,47.40208777,439.5915783,48517.20161,1953.804802,47.00686531,44.46827386,0.049623733,6.602460505,6.173118578,0.015389308,0.000421733,0.871422277,4.547778163,NA,0.035352307
"MI","205",2.528032957,7.247520614,1313.589822,37.84919949,274.064886,69325.13786,1933.111407,64.2338291,39.19542786,NA,3.505987336,5.092239282,0.009405,NA,0.772385639,4.214579149,0.038749184,0.014406029
"MI","207",2.456177493,8.363998902,1386.510044,27.40551675,368.9298056,81529.69421,1271.129763,31.40212269,22.6958495,0.022252178,2.590973821,7.726926279,0.003528959,0.022286395,1.415369412,2.969386527,0.023588376,0.003786665
"MI","208",3.922983512,NA,1035.056412,NA,457.410365,73735.00172,1134.225332,61.00180677,NA,0.034184519,3.638238304,11.61339003,NA,NA,1.045839963,2.762914857,0.043114863,0.025250528
"MI","210",1.100919945,13.09298182,1329.647563,32.47131218,356.0138919,91751.11125,933.5108513,48.84492338,23.82961163,0.022171388,3.249572869,6.499858718,0.006126474,NA,1.812159875,2.704937087,0.029340131,0.020187442
"MI","213",3.169741634,4.938089712,1355.486652,60.23341886,206.1092193,23241.81583,1438.625168,56.13842174,31.3549014,0.020908363,2.734320679,6.354322723,0.015872859,NA,0.397016964,4.008143146,0.037167926,0.0541817
"MI","214",1.18852179,5.352590079,1175.275051,18.23606258,205.5865933,49576.78299,992.0658251,49.01163302,18.97461529,0.022698871,2.431027811,7.849518851,0.007930378,NA,0.993917331,2.907631806,0.040793084,0.023761757
"MI","215",2.981849021,7.515546267,1627.406627,76.32195232,271.3287341,73222.47433,1349.7402,56.99130796,31.66116978,0.030831298,4.573950623,3.736983844,0.018811504,NA,2.134825432,4.702032859,0.030197635,0.020703115
"MI","216",2.08181495,6.565184099,986.531565,35.82749424,279.1242357,53305.28922,1493.841882,50.22469517,25.97969398,0.034784808,3.367216329,6.640293706,0.010281747,0.001130655,0.67388386,3.814119464,0.031717575,0.047626971
"MI","217",6.254364219,7.135751908,1453.080905,48.044402,289.9405272,24752.476,1162.722516,40.35111514,33.06571837,NA,4.269386473,6.426781467,0.018323464,NA,0.581261326,3.97489906,0.025912536,0.011093465
"MI","218",3.263644674,9.557585473,1164.405588,49.76843941,299.7980759,68838.42169,1201.425482,53.34576357,28.1850074,0.019727954,3.587030194,7.715576583,0.016581195,NA,1.223075573,3.880086279,0.025820251,0.046996563
"MI","22",3.763456371,5.468016464,1441.323073,32.70160491,357.9652141,27688.47369,1444.414426,68.27430511,22.05147645,0.025544574,3.573766846,4.225254723,0.007171788,0.009449221,0.641469188,4.521296619,0.026619092,0.029074417
"MI","221",NA,12.78392202,869.4605313,26.59468788,282.5950757,66787.16793,1096.759868,50.52986237,24.22344817,0.023648092,4.380080918,7.685861294,0.006127206,0.014266674,1.520591844,2.489750576,0.028509556,0.026953556
"MI","222",6.525449041,14.59274836,1304.370203,24.50279146,159.5318406,49391.64276,2081.851393,38.03516054,18.58729961,0.044363813,2.509613526,NA,0.006501464,0.008575653,0.898625895,3.270335634,0.023735862,0.007846248
"MI","223",2.412301815,14.03120524,1294.744496,36.77030648,253.4671185,37079.99226,1051.950678,48.39588111,28.01774006,0.036568194,3.536733642,6.881553209,0.006344238,NA,0.733010234,3.754115251,0.034748007,0.026536778
"MI","224",2.46116476,7.198910161,813.9384161,30.76054381,150.7344321,71793.87415,902.4835809,37.07474721,24.44896584,0.026583682,3.407088455,5.720513375,0.01086798,NA,0.839138135,2.886724278,0.030031748,0.039442236
"MI","226",2.146762035,6.025346649,1083.525498,42.49619373,230.0007428,33811.90971,1412.254771,61.63065982,29.87778197,0.032522256,3.666948201,8.401246682,0.008371735,NA,0.610354165,3.592655656,0.024888601,0.04480124
"MI","227",4.148247806,8.275150323,1327.371193,33.47355917,342.1153702,75835.64403,1251.989162,69.60926117,26.32681606,0.024934272,3.733181339,11.47527091,0.010584946,NA,1.256098035,3.042898203,0.041924655,0.023954807
"MI","228",7.475908733,12.13834732,1745.271037,54.00026407,300.8566136,49944.42648,2207.917319,90.67125033,34.89137403,0.022429345,3.225259151,5.26288323,0.017921297,NA,0.98125724,5.906728059,0.025760961,0.069208285
"MI","229",2.637107977,10.08577406,1119.927525,28.26647102,229.5845097,72267.81625,1095.039291,56.96493843,26.9756062,0.032236203,3.89379804,7.755207441,0.008919415,NA,1.021359257,3.534302373,0.036357669,0.015523929
"MI","23",2.12735522,18.0965008,1182.919099,33.14324926,239.9512918,84237.78523,1191.629128,54.03664184,20.55367859,0.016590735,3.097966727,7.328879309,0.010497632,NA,1.272600346,3.581116138,0.030210524,0.062209363
"MI","230",2.357028764,10.65400164,1148.885798,63.5975029,202.6582606,23197.20047,1962.755369,74.53671505,38.27895445,NA,6.431324675,4.33606469,0.015080412,NA,0.569150831,NA,0.042252746,0.05283262
"MI","232",2.9018154,14.7347396,869.8153943,58.57026825,398.5749691,41463.67697,1224.37134,52.39852757,35.12991198,0.023401864,3.823226902,7.958971266,0.016629739,NA,2.505699473,3.844583416,0.038986015,0.02869852
"MI","234",1.794918475,14.12961337,1774.796237,32.59692139,346.0763112,67132.01262,1073.098768,35.41107964,22.17219748,0.020914665,3.028185893,5.578112971,0.008187503,NA,1.247300959,2.75918605,0.038337545,0.031654497
"MI","235",2.81840505,6.810129594,977.4652889,37.88644948,326.9152219,85842.9112,1383.990254,54.91158137,24.24625133,0.027069522,5.564882073,4.4538748,0.007996739,NA,1.72772501,3.750571849,0.037708603,0.019400937
"MI","236",1.844847497,15.56519985,738.8594671,35.58578878,266.055481,88913.53079,732.3566803,23.0186898,30.81973837,0.031810823,4.148880092,5.107707412,0.010055266,NA,1.229392618,2.244498028,0.036028305,0.020904586
"MI","237",2.820891358,5.747826616,1267.410932,29.364531,205.4950901,40122.50749,1176.724597,42.26322978,27.73185583,0.034824357,3.79547927,7.364423393,0.007932906,NA,0.416606963,2.538565848,0.029389704,0.049855055
"MI","239",2.176281746,NA,1479.415861,30.33223963,161.0669487,52274.21961,1533.968917,41.51237033,22.15612042,0.029582906,3.639045026,3.53032344,0.009344724,NA,0.914350823,4.167951187,0.024086494,0.02209427
"MI","242",1.821293275,6.041585879,1269.065398,51.76375394,235.0799628,21195.85444,1477.041666,59.92582309,28.42084744,0.023548945,2.92414553,10.06224202,0.020508506,NA,0.524001385,5.008279658,0.029064686,0.05008175
"MI","243",2.341522676,12.36396892,1397.913829,55.1328924,398.8020551,100932.2603,1340.486173,91.34714928,32.27871828,0.038541383,5.201444051,11.0782903,0.008995955,NA,NA,3.874949653,0.058744315,0.08349978
"MI","244",2.991815535,10.59673406,1755.348198,33.54335047,214.219099,38307.28969,1347.567111,32.80899566,23.03705638,0.025796249,3.779176884,3.664391571,0.008581222,0.002349396,0.742168584,4.025541349,0.038249629,0.032017889
"MI","245",2.8648904,5.334049717,1481.336672,25.58516446,206.9490881,30308.47278,1271.519134,41.71741091,21.79692906,0.023336598,2.258693586,NA,0.006774862,0.015892389,0.452916464,3.335289035,0.031398282,0.028598985
"MI","246",2.063544667,9.080264806,1346.761867,61.67341407,286.1362686,58162.08726,951.1963895,52.32018543,38.61274495,0.024606512,4.696106781,10.47745034,0.017656431,NA,1.081165844,3.83194759,0.037783403,0.025601627
"MI","247",3.080843987,5.555056495,1769.025607,46.09599616,300.5046383,22713.951,NA,77.82990085,34.35241457,0.037045791,4.857496059,7.555728719,0.016398968,0.008602178,0.395535451,NA,0.034754304,0.058189683
"MI","248",3.064710351,7.545748836,1406.269881,37.67527302,337.7857983,69194.84769,1485.895251,54.8169925,43.37695671,0.046118558,5.271923464,8.369130121,0.012897092,NA,0.928207565,3.761527943,0.048872434,0.041527156
